"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
1.1098,2.2329,0,0.82054,1.4234,0.32034,1.4021,0.22691
0.86124,1.9065,0,1.477,1.9914,0.32034,0.6586,0.18909
0.57721,1.4442,0,2.2975,2.3911,0.17403,0.47274,0.18909
0.61272,1.1451,0,2.4616,2.2228,0.41788,0.3798,0.30254
0.86124,0.92749,0,2.4616,2.4753,0.51543,0.2404,0.90763
2.4944,0.87309,0,1.1488,2.5594,0.90559,0.28687,1.4749
2.1393,0.98188,0,1.477,2.7067,0.85682,0.2404,1.3615
3.0979,1.2266,0,2.6257,2.4963,0.66174,0.5192,1.6262
2.3879,0.90029,0,3.1181,2.4753,0.71051,0.798,2.0044
1.9263,0.90029,0,2.1334,2.2018,0.36911,1.2627,1.7775
0.82573,0.62833,2.844,0.49232,0.77117,2.0273,1.8203,0.90763
2.0328,2.0697,1.1474,0.65643,0.60287,3.3929,1.8667,0.90763
1.5713,1.7977,0.25814,1.477,1.0236,1.2958,1.1233,0.34036
0.3642,1.281,0.001012,0.98465,1.2761,0.32034,0.89094,0.18909
0.15118,0.65553,5.6566e-07,0.65643,1.5496,0.12526,0.6586,0.22691
0.11568,0.41077,2.2814e-10,1.8052,1.3602,0.17403,0.56567,0.94545
0.080176,0.24759,8.2601e-14,1.1488,0.87636,0.2228,1.0303,1.7396
0.080176,0.2204,0,0.65643,0.53976,0.12526,1.495,2.1556
0.080176,0.166,8.3933e-14,0.16411,0.39249,0.12526,2.7496,0.79418
0.080176,0.35637,2.5576e-10,0.16411,0.20315,0.076492,2.6567,0.52945
0.080176,0.35637,7.9862e-07,0,0.119,0.076492,2.3779,0.416
0.080176,0.92749,0.0023931,0,0.07692,0.076492,1.6344,0.34036
0.75473,2.3145,3.1215,0,0.097958,1.8322,1.4485,0.60509
1.1098,1.2266,2.844,0.98465,1.1078,1.9298,0.98387,1.9665
2.4944,2.1241,0.93254,0.98465,1.0447,3.2466,1.5879,1.5884
1.5003,2.4233,0.14347,0.82054,1.1709,1.2958,1.3091,0.37818
0.86124,1.9065,0.18389,1.8052,1.8441,0.85682,0.61214,0.30254
0.15118,1.2538,0.0010315,1.8052,2.1176,0.66174,0.2404,0.11345
0.080176,0.65553,5.0376e-07,1.8052,2.3701,0.41788,0.2404,0.416
0.080176,0.38357,2.2687e-10,2.1334,1.9283,0.5642,0.47274,0.90763
0.080176,0.32918,8.2601e-14,1.3129,1.4444,0.32034,0.61214,1.664
0.080176,0.11161,8.3933e-14,1.477,1.0236,0.17403,1.0303,2.6851
0.080176,0.084417,2.5843e-10,0.82054,0.75014,0.2228,2.1455,2.2313
0.080176,0.11161,7.9063e-07,0.16411,0.60287,0.12526,2.1455,1.2102
0.080176,0.166,0.0023931,0.16411,0.2873,0.076492,2.0061,0.52945
0.57721,0.98188,3.2651,0.32822,0.16107,2.2224,2.4708,0.71854
0.89674,0.54675,3.1215,0.49232,0.37145,1.8322,3.3072,1.7396
2.4234,2.6136,1.2912,0.32822,0.24522,4.222,3.4466,1.4371
0.86124,3.1031,0.21528,0.32822,0.79221,1.1982,2.4708,0.34036
0.3642,2.6408,0,0.82054,1.6127,0.51543,1.495,0.075636
0.3642,2.8584,0.14671,1.9693,2.1176,0.076492,0.9374,0.037818
0.15118,2.8856,0.00097575,2.1334,2.6646,0.27157,0.47274,0.037818
0.11568,2.2873,5.7611e-07,1.477,2.8539,0.46666,0.3798,0.075636
0.080176,1.689,2.2004e-10,1.6411,2.6436,0.5642,0.33334,0.22691
0.080176,1.5802,1.6698e-13,1.8052,3.0012,0.51543,0.33334,0.30254
0.080176,1.1179,2.531e-10,2.4616,2.7067,1.0031,0.2404,0.52945
0.080176,0.70992,7.8265e-07,2.6257,2.3911,0.95436,0.2404,0.98327
0.080176,0.41077,0.0023692,2.6257,2.2018,0.85682,0.42627,0.94545
1.2873,0.30198,3.0857,2.6257,1.6337,2.2712,0.75154,2.6094
0.79023,0.79151,2.9134,0.32822,0.35041,1.6371,2.7031,2.5716
1.7488,2.1513,0.57387,0.16411,0.35041,2.6126,3.0284,1.0967
1.2873,2.2057,0.14352,0,1.1499,0.80805,2.1455,0.34036
0.64822,1.9609,0,0.16411,1.7179,0.46666,1.7738,0.075636
0.50621,2.3145,0,0.65643,1.9914,0.2228,1.2162,0.11345
0.32869,2.2873,0,0.32822,2.5594,0.12526,0.61214,0.11345
0.64822,2.2057,0,1.3129,3.0643,0.32034,0.42627,0.37818
0.75473,1.9065,0,2.1334,3.0643,0.61297,0.28687,0.18909
0.89674,1.3082,0,2.9539,3.1274,0.66174,0.42627,0.56727
1.0032,0.87309,0.18089,3.7745,2.896,0.66174,0.33334,0.49164
0.29319,0.57394,0.0011441,3.9386,2.4963,0.71051,0.28687,0.60509
0.080176,0.30198,0.0016039,2.6257,1.8651,0.41788,0.42627,1.248
0.68372,0.24759,2.3322,2.1334,1.3602,1.1982,0.75154,2.08
