"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.37334,0.46365,0.67982,2.7747,0.87421,1.766,1.8054,1.5849,0.98408,2.4563
0.23689,1.1483,0.88377,1.076,0.87421,1.492,3.9714,3.4442,0.98408,1.9797
0.25647,1.8836,1.2917,0.21528,0.34968,1.7432,3.3529,3.5041,2.5745,1.2465
0.18559,2.4161,2.1074,0,0.34968,2.5406,1.9314,3.864,2.9279,0.73322
0.43489,3.0247,2.3794,0,0.87421,3.237,2.7801,2.9644,2.9279,0.36661
0.024065,3.0247,2.5153,0,0.52453,1.9367,2.6473,1.8848,2.9279,0.1833
0.046302,3.5318,2.1074,0.21887,0.87421,0.7065,1.4748,1.2251,2.7512,0.14664
0.3878,3.3797,2.1074,0.0012371,1.3987,2.6327,2.8311,1.0452,2.3978,0
0.036783,2.5936,2.1754,5.9451e-07,0.52453,1.7332,3.0494,0.50538,1.8676,0.073322
0,2.0104,2.7873,4.3892e-10,1.5736,2.9696,3.8111,0.38543,1.8676,0.10998
0.33355,1.5286,2.7193,7.2674e-07,1.9233,0,3.5657,0.38543,1.6909,0.21997
0.30422,1.0722,2.4474,0.0022735,1.9233,1.6379,1.1303,0.4454,1.3375,0.32995
0.21564,0.81864,2.3794,3.1215,0.87421,3.1793,3.1699,0.56535,0.80737,0.91652
0.22751,0.0013369,0,3.0175,0,1.366,1.8365,2.1847,4.3416,0.36661
0.75514,0.10123,0,1.5781,0,3.0428,1.9241,2.1247,3.1046,1.2098
0.49133,0.030488,0,0.14352,0,2.3099,0.85208,2.2447,2.5745,1.7964
0.35942,0.070886,0,0.071759,0,1.0439,3.0289,2.6645,2.2211,1.6864
0.22751,0.050022,0,0,0,2.0772,5.2681,2.5445,2.9279,1.4298
0.62324,0.051505,0,0,0,2.9913,2.963,2.6045,2.9279,1.6864
0.88705,0.09134,0,0.14591,0,2.2443,3.3255,2.2447,3.1046,1.5398
5.3719,0.061825,0,0.0010887,0,1.4586,3.991,1.7649,2.5745,1.5031
5.24,0.05455,0,6.1102e-07,0,3.2304,1.6211,1.5849,2.3978,1.6864
4.8443,0,0,4.606e-10,0,3.0687,2.1302,2.2447,2.7512,2.7129
3.5252,0.051144,0,7.507e-07,0,1.6794,0.90468,3.6841,3.458,1.6497
2.338,0.025446,0,0.0023213,0,2.4038,3.3625,3.5641,4.1649,0.87986
0.35942,0.049507,0,2.7627,0,1.9999,2.1358,3.3842,3.458,0.6599
0.75514,0.31151,0.54386,2.844,1.2239,2.7719,5.4347,0.050734,0.35034,3.1162
0.75514,0.86935,0.54386,1.5064,0.34968,3.758,2.7601,0.06446,0.60266,5.4625
0.49133,1.63,1.2237,0.21528,0.17484,3.024,1.8653,0.072081,0.48659,5.5725
0.88705,1.5793,2.3794,0.071759,0.87421,2.8246,2.1963,0.12753,0.14325,3.7761
0.75514,1.7061,2.6513,0.071759,0.87421,1.2343,0,0.14243,0.039241,3.2262
0.75514,1.8836,3.0592,0,1.0491,1.1036,3.4981,0.10008,0.074407,2.1997
1.019,1.8075,3.1952,0.10943,1.3987,2.0848,3.0922,0.091564,0.14326,1.6131
3.6571,1.554,3.1952,0.0010144,1.7484,3.2684,2.9784,0.043798,0,1.1365
4.8443,1.2243,2.5833,6.0277e-07,1.7484,2.753,4.3665,0.0010616,0.28784,0.87986
3.5252,0.86935,1.7675,4.5518e-10,1.3987,3.1175,3.3752,0.074749,0.081184,0.6599
2.4699,0.53972,1.2237,7.5869e-07,1.7484,2.5877,4.4244,0.030531,0.035405,1.1732
1.5466,0.36222,0.7478,0.0023692,0.87421,4.0018,3.1456,0,0.33186,2.1997
0.75514,0.41293,0.61184,3.1933,1.0491,0.94154,3.5552,0.16262,0.35298,3.4461
0.49133,0.51436,1.0197,2.9134,1.0491,1.916,3.6292,1.0452,0.63065,2.273
0.62324,1.0215,1.0197,1.1477,0.34968,0.98565,2.8363,2.0048,1.1608,2.8229
0.22751,1.8836,1.9035,0.21528,0.17484,2.3688,2.9605,2.3646,1.3375,1.9797
0.35942,2.0611,2.3114,0,1.0491,4.8045,2.3304,2.6045,1.8676,1.0265
0.35942,2.2132,3.1272,0,0.52453,0.25825,4.5195,2.1247,1.5142,0.51325
0.22751,2.1372,3.943,0,1.7484,1.6881,4.2933,1.405,1.5142,0.32995
0.35942,1.7822,3.875,0.29182,2.2729,1.6827,1.6082,0.86523,1.3375,0.36661
1.2828,1.0215,3.3991,0.0010887,3.322,0.27518,2.4749,0.50538,1.1608,0.40327
1.6785,0.74257,2.9232,5.6974e-07,3.8465,1.9159,2.4449,0.4454,0.98408,0.6599
1.2828,0.51436,2.1754,4.2808e-10,3.4968,2.9891,3.5504,0.32545,0.80737,1.0632
1.019,0.33686,1.8355,6.8681e-07,2.6226,4.5114,2.2002,0.4454,0.63065,2.163
0.88705,0.31151,1.2237,0.0022017,1.9233,2.1754,3.2795,1.2251,0.80737,3.3361
0.22751,0.31151,0.95175,2.7627,0.87421,2.3675,1.4978,2.7245,1.5142,2.7496
0.88705,0.38758,1.1557,0,0.69937,2.6853,3.0855,0.4454,0.45394,2.3463
0.62324,0.31151,0.67982,0,0.87421,3.0773,3.2159,0.9252,0.27723,2.8962
0.62324,0.33686,0.7478,0,1.0491,1.0759,2.1246,1.5849,0.63065,2.6029
0.62324,0.26079,0.47587,0,0.69937,2.0616,1.9997,2.8444,1.3375,1.5764
0.35942,0.41293,0.27193,0,0.17484,3.7216,3.6608,2.3046,2.5745,1.1732
0.22751,0.61579,0.33991,0,0.17484,5.0984,0.69764,2.6645,3.2813,0.80654
0.22751,1.0215,0.27193,0,0,3.1074,3.483,2.5445,3.1046,0.47659
0.22751,1.5033,1.0197,0,0.17484,2.8263,2.026,2.1247,2.5745,0.51325
0.22751,1.5793,1.3596,0,0.52453,4.2599,4.2941,1.2851,2.2211,0.25663
0.22751,1.7315,1.9035,0,0.34968,3.0017,3.2584,0.9252,2.0443,0.29329
0.22751,1.63,2.3794,0,1.2239,1.6111,1.7558,0.74528,1.5142,0.10998
0.22751,1.3511,2.1754,0,2.4478,2.4204,1.8504,0.6853,1.1608,0.25663
0.22751,0.94542,2.3114,0,2.0981,1.2807,3.4208,0.62533,0.98408,0.43993
0.35942,0.53972,0.40789,3.0868,0,1.0596,1.7006,2.7245,2.5745,0.95318
0.35942,1.7568,0.7478,1.0043,0,2.9526,1.3846,2.5445,3.2813,0.8432
0.35942,3.4304,1.8355,0.21528,0,2.6219,3.2706,1.8848,4.3416,0.36661
0.22751,5.0278,1.9715,0.071759,0.69937,1.1413,4.4447,1.345,2.5745,0.29329
0.22751,4.825,1.8355,0,0.87421,3.3857,3.009,1.345,2.3978,0.25663
0.22751,3.4557,2.3114,0,0.87421,2.3587,2.2264,0.74528,1.8676,0.073322
0.22751,2.9486,2.7873,0.14591,1.3987,2.5662,2.8607,0.4454,1.6909,0.073322
1.019,2.34,3.3311,0.0010144,2.0981,2.5432,2.573,0.26548,1.1608,0.14664
0.88705,1.4779,2.5833,5.6974e-07,3.4968,3.4816,3.8472,0.38543,0.80737,0.51325
0.75514,0.99613,2.7193,4.5518e-10,3.8465,2.3437,3.165,0.38543,0.80737,0.58658
0.75514,0.6665,1.7675,7.1876e-07,1.7484,3.6818,2.8432,0.6853,0.80737,1.0998
0.75514,0.59043,1.2917,0.0022735,0.17484,1.1874,3.693,0.86523,0.63065,1.5398
0.35942,0.489,0.88377,2.691,0.69937,2.5964,4.2054,1.2251,0.98408,1.9064
0.22751,0.38758,0.88377,2.74,0.34968,2.9603,3.5308,1.405,0.63065,1.7597
1.019,1.199,0.81578,0.50232,0.87421,1.8254,2.5138,2.1847,0.80737,2.0164
0.62324,1.5793,1.6316,0,0.34968,4.345,1.8068,2.3046,1.8676,1.6864
0.35942,1.7061,1.6996,0,0.52453,2.8084,2.5962,2.0647,2.0443,1.2465
0.22751,2.6697,1.9715,0,1.2239,3.4366,0.98023,1.7649,1.5142,0.76988
0.35942,2.3907,2.2434,0,1.3987,3.809,2.2287,1.5849,1.3375,0.51325
0.22751,2.2132,2.1754,0,2.4478,2.0004,2.7486,0.9252,1.1608,0.29329
0.22751,1.7061,2.5153,0,2.2729,1.0453,2.6376,0.6853,0.80737,0.32995
0.49133,1.4018,2.6513,0,2.0981,2.2931,3.551,0.56535,0.45394,1.2098
0.35942,1.3765,2.4474,0,1.7484,4.5083,1.5484,0.32545,0.27723,1.2098
0.35942,1.3511,2.2434,0,2.2729,2.2299,2.7074,0.26548,0.27723,1.5398
0.35942,1.4018,2.5153,0,2.0981,2.3872,3.1554,0.32545,0.27723,2.163
0.35942,1.199,2.1074,0,2.0981,1.5345,2.9919,0.98518,0.27723,2.3096
0.22751,0.38758,0.88377,2.844,0.69937,3.1355,2.7526,1.8848,1.1608,1.6131
0.35942,1.3765,1.0877,1.1474,0.87421,2.9706,3.2162,2.1247,1.1608,1.3931
0.49133,1.554,1.6996,0.25814,0.87421,2.7853,1.4475,2.0647,1.1608,1.1365
3.2614,1.4272,1.8355,0.001012,2.0981,0.93774,2.4629,1.8848,1.5142,0.58658
2.7338,1.1483,1.6996,5.6566e-07,1.7484,2.4218,1.8125,1.2851,1.3375,0.36661
2.6018,0.86935,1.5636,2.2814e-10,1.3987,2.5877,2.7533,0.74528,1.3375,0.51325
1.6785,0.56507,1.2917,8.2601e-14,1.2239,3.7809,2.8705,0.6853,1.1608,0.98985
1.1509,0.41293,0.81578,0,0.87421,2.6583,2.3997,0.98518,0.98408,2.273
0.88705,0.31151,0.7478,8.3933e-14,0.52453,1.8674,3.9812,1.8848,1.3375,1.9797
0.75514,0.41293,0.33991,2.5576e-10,0.52453,2.5203,3.3729,1.6449,2.2211,1.6497
0.49133,0.38758,0.20395,7.9862e-07,0.34968,1.7458,3.8345,2.2447,2.2211,1.1365
0.35942,0.51436,0.33991,0.0023931,0.17484,2.8131,3.5632,2.2447,3.1046,0.73322
0.22751,1.1483,0.33991,3.1215,0,2.1749,4.3489,2.1247,3.2813,0.54991
0.22751,0.64114,1.0877,2.844,0.52453,3.2556,2.4659,0.86523,1.3375,1.7231
0.22751,1.199,1.5636,0.93254,1.0491,3.3353,3.1121,1.345,1.1608,2.1263
0.22751,2.0865,2.1074,0.14347,0.52453,2.1705,2.8848,1.5849,1.5142,1.6497
0.35942,2.4161,2.1754,0.18389,1.3987,0.96342,2.2293,1.2251,0.98408,1.1365
1.4147,1.9597,2.2434,0.0010315,1.9233,1.9527,1.8394,0.98518,0.80737,0.8432
1.1509,1.3004,2.2434,5.0376e-07,1.7484,3.0578,2.0724,0.6853,0.80737,0.62324
1.019,0.69185,2.1754,2.2687e-10,3.322,3.6115,4.0189,0.50538,0.80737,0.8432
0.75514,0.64114,1.9715,8.2601e-14,2.4478,1.6836,1.5029,0.6853,0.80737,1.1732
0.75514,0.489,1.4276,8.3933e-14,1.7484,0.24714,3.1931,0.74528,1.1608,1.7231
0.49133,0.38758,0.95175,2.5843e-10,1.0491,3.1797,2.3706,1.5849,0.98408,1.8697
0.49133,0.41293,0.61184,7.9063e-07,0.87421,3.5858,2.7372,1.8248,1.1608,1.6864
0.35942,0.28615,0.40789,0.0023931,0.34968,1.9416,2.0498,2.9044,1.5142,1.3198
0.22751,0.26079,0.20395,3.2651,0.34968,3.6271,3.5191,2.1847,2.2211,0.98985
0.75514,0.21008,0.40789,3.1215,0.52453,2.2497,2.9108,2.1847,0.63065,2.4563
0.35942,0.92006,0.20395,1.2912,0.34968,2.0262,2.8849,3.4442,2.3978,2.8596
0.22751,2.2386,0.95175,0.21528,0.34968,1.6805,2.8498,3.5041,2.9279,2.273
0.35942,2.7457,1.9715,0,0.52453,2.503,1.9209,3.3242,2.7512,1.0265
0.35942,3.1768,2.3794,0.14671,0.17484,3.2053,2.2193,2.0647,3.1046,0.43993
1.2828,2.7965,2.4474,0.00097575,0.87421,2.5522,2.9625,1.1651,2.9279,0.1833
1.9423,2.3147,2.5833,5.7611e-07,1.9233,4.4977,4.4493,0.80525,2.5745,0.21997
1.5466,1.8329,2.7193,2.2004e-10,1.2239,2.5555,3.5588,0.62533,2.3978,0.10998
1.019,1.6554,2.5833,1.6698e-13,1.7484,1.5087,3.6302,0.38543,2.0443,0.40327
0.75514,1.4018,3.2631,2.531e-10,2.0981,1.3954,3.3499,0.32545,1.6909,0.40327
0.62324,1.0722,2.6513,7.8265e-07,1.7484,2.8673,1.4054,0.2055,1.3375,0.43993
0.62324,0.84399,2.2434,0.0023692,2.2729,4.0879,3.733,0.08555,1.1608,0.87986
0.62324,0.59043,1.5636,3.0857,2.6226,2.9909,0.21216,0.14553,0.80737,1.2098
0.62324,0.31151,0.54386,2.9134,0.17484,2.1907,3.6258,1.1651,0.63065,2.7496
0.62324,1.0468,0.47587,0.57387,0.34968,3.3117,2.7059,2.3646,1.5142,2.6029
0.49133,1.7568,0.95175,0.14352,0,2.8278,4.907,2.7245,1.6909,1.833
0.22751,2.0104,1.4956,0,0,3.18,3.083,2.6645,2.2211,0.91652
0.49133,2.7965,1.8355,0,0,1.3861,3.2946,2.2447,2.3978,0.54991
0.22751,2.8218,1.8355,0,0,1.2714,1.9824,1.6449,2.2211,0.47659
0.22751,2.5936,2.4474,0,0.52453,2.5982,4.0609,1.0452,1.1608,0.51325
0.22751,2.2132,2.9912,0,1.0491,2.1396,2.5515,0.9252,1.1608,0.47659
0.22751,2.34,3.3311,0,2.6226,1.2257,1.141,0.9252,0.80737,0.43993
0.35942,1.8075,3.0592,0.18089,3.1472,1.6261,1.2211,0.74528,0.45394,0.51325
1.1509,1.0722,2.3114,0.0011441,3.1472,2.7795,2.192,0.38543,0.63065,0.76988
1.2828,0.71721,1.8355,0.0016039,4.0214,0.19544,2.9377,0.32545,0.63065,1.1732
0.62324,0.53972,1.4956,2.3322,3.8465,0.79958,0.61214,0.62533,0.63065,1.9064
