"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.012876,0.27501,1.438,3.0136,3.3995,2.4869,2.1007,1.8816,1.0503,2.5125
0.31564,0.89209,0.68478,1.0747,1.9913,4.0535,2.1904,3.0184,1.3707,2.4776
0.11198,1.3698,1.3011,0.14334,3.9836,2.5867,4.1553,3.6765,1.8512,1.4307
0.32509,1.748,1.8489,0,0.69442,3.6884,3.238,3.0184,2.492,0.80259
0.48883,2.8429,2.5337,0,1.4164,5.0894,2.9919,2.42,3.7734,0.45364
0.5185,3.6988,3.013,0,4.5373,4.4993,1.4342,2.1807,2.6521,0.24427
0.14754,3.9377,2.1913,0.14573,3.2138,1.3739,1.3839,1.6422,1.691,0.13958
0.27164,3.1215,2.0543,0.00093903,2.1146,3.0859,1.9694,0.9841,1.691,0.034895
0.3286,2.4646,1.9174,5.5253e-07,2.715,4.052,2.586,0.50545,1.0503,0
0.085869,1.7281,2.7391,4.4919e-10,2.9932,4.5207,2.9521,0.38579,0.72995,0.034895
0.099536,1.131,2.8076,7.0987e-07,2.2549,1.9676,1.559,0.26613,0.72995,0.13958
0,0.87218,2.4652,0.002175,2.2791,4.3545,2.5929,0.26613,0.72995,0.55832
0.0952,0.5935,2.1228,2.9026,3.4086,4.1974,1.973,0.32596,0.72995,0.97707
0.47924,0.038967,0,2.8751,3.496,2.9244,2.787,2.4799,3.4531,1.012
0.14463,0.035435,0,1.1463,2.6441,3.5145,5.3025,2.8987,2.1716,1.5354
0.64654,0.046005,0,0.21501,1.707,3.2039,3.7344,3.2577,3.2929,1.1864
0.81384,0.078373,0,0.071669,1.0677,3.2064,3.8634,2.7192,1.8512,1.1166
0.31193,0.047897,0,0,2.659,3.3502,2.3416,2.1209,2.3318,0.90728
0.64654,0.032965,0,0,3.3229,2.2546,2.5727,2.4799,3.1327,0.87238
0.64654,0.015108,0,0.036432,1.8658,2.2946,3.7284,2.3004,2.8123,0.97707
5.833,0.035391,0,0.0010132,4.328,1.701,2.5827,1.6422,3.6132,1.2562
6.3349,0.02693,0,5.4428e-07,2.9479,2.3622,2.571,2.4799,3.7734,1.6401
4.3272,0,0,4.4378e-10,2.7782,3.0663,3.8162,2.5995,4.0938,1.1166
3.658,0.022631,0,7.338e-07,1.9831,3.178,2.8236,2.779,4.4142,0.76769
1.985,0.031864,0,0.0023423,3.1505,3.3987,1.5006,2.7192,3.1327,0.62811
0.64654,0.014239,0,2.9743,3.9343,1.3927,4.1086,1.9414,2.9725,0.59322
0.47924,0.29492,0.95869,2.8405,1.3386,2.5343,3.3209,0,0.44612,2.652
0.81384,0.69303,0.75325,1.1463,2.2566,2.3278,1.5611,0.23425,0.32951,5.4088
0.64654,1.4495,0.82173,0.21501,3.5428,1.8424,5.1164,0.084679,0.12582,4.676
0.64654,1.4495,1.3696,0,3.0772,4.3962,2.6848,0.063124,0.34493,4.0129
0.31193,2.0068,1.7804,0,3.9475,3.2696,3.0516,0.11852,0.10688,2.5125
0.14463,2.4049,2.1228,0,3.3306,3.1902,2.4056,0.13536,0.20881,1.7797
0.31193,2.2258,3.4239,0.32789,3.8372,2.1826,4.2667,0.14551,0.43156,1.1515
2.8215,1.3499,3.4239,0.0014827,2.1931,4.1636,4.4344,0.17705,0,0.76769
2.6542,1.1907,3.4924,6.1025e-07,1.7126,1.6136,2.9112,0.011253,0.032339,0.48853
1.8177,0.77265,3.6293,4.4378e-10,3.0216,3.8471,3.731,0.1796,0.52817,0.90728
1.8177,0.55369,3.0815,7.0987e-07,3.014,2.2543,3.4875,0.10894,0.38225,1.326
1.6504,0.37454,2.3282,0.0022467,2.7499,3.2691,5.0999,0.071748,0.47266,1.8146
0.64654,0.31482,1.5065,2.9384,2.929,2.4643,2.8282,0.17006,0.1183,2.5474
0.47924,0.41435,1.1641,3.0136,3.7458,3.221,2.8071,0.9841,0.89013,1.9192
0.31193,0.91199,1.3011,0.93137,3.2864,3.1767,3.7789,1.3431,1.2105,2.8963
0.31193,1.6883,1.9858,0.071669,3.2276,2.9524,2.8414,1.5824,1.2105,2.1635
0.14463,1.7679,2.6706,0,1.8386,3.2338,3.973,1.2833,1.2105,1.2213
0.14463,1.9869,3.3554,0,2.2234,5.138,2.8673,0.92427,0.72995,1.012
0.14463,2.0466,3.2184,0,2.8229,4.7125,3.3214,1.1636,0.40959,0.80259
0.31193,2.4248,3.6978,0.18216,3.9155,4.5331,2.853,0.86444,0.40959,0.62811
1.6504,2.0267,3.5608,0.00096375,3.5023,4.8227,1.8194,0.56528,0.40959,0.45364
1.3158,1.4495,3.6293,5.1129e-07,0.83527,2.9873,4.07,0.38579,0.40959,0.45364
0.64654,1.0712,2.8076,4.1131e-10,4.1983,3.6289,4.3367,0.32596,0.40959,0.27916
0.64654,0.69303,2.4652,6.6999e-07,3.9972,2.0362,3.9229,0.44562,0.40959,0.41874
0.64654,0.5736,2.1913,0.002175,2.8946,4.2323,3.3861,0.26613,0.40959,0.87238
0.14463,0.35463,1.3011,2.6518,3.401,3.1844,2.3322,0.50545,0.40959,1.6401
0.47924,0.49397,1.438,2.8405,2.0609,5.0538,3.0613,1.4627,0.56977,1.3958
0.81384,0.41435,0.95869,0,2.9493,3.7369,3.9859,1.7619,1.2105,1.2911
0.81384,0.33473,0.75325,0,4.076,3.5125,4.4718,1.5824,1.5309,1.1864
0.81384,0.39444,0.82173,0,2.1947,3.3891,1.8777,1.9414,2.1716,1.675
