"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.0038911,0.66265,2.9722,0.62387,1.1174,2.2448,1.1083,1.8479
0.015421,1.9461,0.71479,0.4679,1.1174,3.6006,1.8586,2.0327
0.049421,2.1037,0,0.4679,1.3051,0.78052,1.1619,0.66526
0.051485,1.7885,0,1.2477,2.0766,0.40089,0.78679,0.18479
0,1.856,0,1.5597,2.6187,0.23819,0.51884,0.036959
0.12536,1.9011,0,2.0276,2.9523,0.45512,0.35807,0.036959
0.016259,1.9686,0.18174,2.4955,2.5144,0.61782,0.25089,0.11088
0.066648,1.3156,0.0012327,3.4313,2.7647,0.56359,0.25089,0.36959
0.029702,1.0229,6.0063e-07,2.4955,2.6187,1.2144,0.25089,0.40655
0.034507,0.77523,4.5896e-10,2.4955,2.2017,0.88898,0.25089,0.59134
0.15758,0.57259,7.3212e-07,2.1836,2.0557,0.88898,0.25089,1.2936
0.091582,0.39245,0.0022415,1.5597,1.4719,1.1059,0.46525,0.99788
0.0617,0.64013,2.9317,0.93581,0.80462,2.0279,0.67961,3.1045
0.89717,0.048682,2.8685,0,0.033116,1.8652,1.5906,1.3305
4.9403,0.037422,1.0007,0,0.033116,4.4141,2.4481,2.8828
2.3914,0,0.071505,0,0.033116,1.5398,3.8414,1.9958
2.699,0.024413,0,0,0.033116,0.45512,4.0022,0.66526
2.2156,0.049842,0,0,0.033116,0.18396,3.7342,0.51742
2.2595,0.020603,0,0,0.033116,0.12973,2.984,0.55438
2.4353,0.03475,0.036349,0,0.033116,0.29242,2.1801,0.66526
0.4577,0.052309,0.00098619,0,0.033116,0.18396,2.1265,0.48046
0.10612,0.0038766,5.2658e-07,0,0.033116,0.12973,2.2337,0.48046
0.062176,0.058475,4.5356e-10,0,0.033116,0.12973,1.9658,0.33263
0.062176,0.062203,7.2416e-07,0,0.033116,0.12973,1.4835,0.51742
0.062176,0.037997,0.0022654,0,0.033116,0.12973,1.4835,0.4435
0.94112,0.058865,2.8244,0,0.033116,1.8652,1.537,1.3305
1.4245,0.36994,2.8685,2.6515,1.4927,2.5702,0.040749,3.3263
5.9071,1.8335,0.71479,1.2477,1.2842,3.8718,0,3.0676
3.4461,2.2388,0,0.62387,1.5761,1.8109,0.12793,1.4414
2.1277,1.8335,0,1.0918,2.0974,0.99745,0.16196,0.88701
1.7761,1.6083,0,2.8074,2.3685,1.2686,0.076835,0.70221
1.1169,1.3832,0,1.4037,2.4519,0.94322,0.1202,0.48046
1.4245,1.5183,0.072697,0.93581,2.577,1.1059,0.19312,0.59134
0.32586,0.91033,0.00096154,2.0276,2.5561,1.2144,0.1393,0.25871
0.10612,0.39245,5.1012e-07,2.8074,2.0557,0.88898,0.10534,0.6283
0.062176,0.30239,4.2116e-10,1.0918,1.5761,0.45512,0.20157,1.5153
0.062176,0.18981,7.0825e-07,1.0918,1.0965,0.23819,0.11414,2.7349
0.062176,0.12226,0.0022892,0.31194,0.65866,0.23819,0.13751,3.9546
1.5124,0.61762,2.7887,0,0.36674,1.9194,0.059169,4.509
0.72138,0.64013,2.8685,1.2477,0.046787,0.084531,1.1619,2.9567
3.4901,2.1037,1.0007,1.4037,0.051731,0.1816,2.3409,1.7371
1.908,2.0812,0.14301,1.7157,0.041958,0.02423,1.3763,0.6283
0.85323,1.6984,0,1.7157,0.045006,0,0.89397,0.18479
0.4577,1.856,0,1.0918,0,0.074833,0.84038,0.036959
0.63349,2.0362,0,1.4037,0.047433,0.15492,0.41166,0.29567
0.58954,2.3514,0.25444,1.4037,0.023464,0.068088,0.1973,0.11088
0.19402,1.6083,0.0014546,2.3395,0.032255,0.081232,0.090123,0.22175
0.10612,0.88782,6.2531e-07,2.9634,0.043655,0.12314,0.090123,0.22175
0.062176,0.66265,4.9676e-10,2.8074,0.017781,0.17346,0.30448,0.51742
0.062176,0.46,7.5599e-07,2.3395,0.030268,0.14887,0.25089,1.0348
0.062176,0.34742,0.0023608,1.7157,0.022718,0.11409,0.41166,1.2566
1.2487,0.57259,3.0747,1.0918,0.014943,0.2384,0.7332,2.698
0.89717,0.64013,2.6266,0.77984,1.3259,1.9736,1.805,2.5501
0.10612,0.36994,0,0.62387,0.84632,0.40089,2.8768,1.3305
0.062176,0.21232,0,0.4679,0.5544,0.12973,3.5735,0.70221
0.062176,0.21232,0,0.31194,0.24163,0.12973,3.1447,0.14783
0.062176,2.2613,0,0.15597,0.19993,0.18396,2.3409,0.073917
0.062176,5.0308,0,0,0.76292,0.12973,1.537,0
0.062176,5.7289,0,0.93581,1.4719,0.40089,1.0011,0.036959
0.062176,4.8732,0,2.0276,2.1183,0.61782,0.78679,0.036959
0.062176,3.905,0,1.8716,2.2017,0.50936,0.46525,0
0.062176,2.6216,0,2.8074,2.3268,0.88898,0.30448,0.11088
0.062176,1.9011,0,2.0276,2.431,0.78052,0.1973,0
0.062176,1.0229,0,3.8992,2.4727,0.83475,0.30448,0.14783
0.062176,0.55007,0,4.0552,2.8272,1.5398,0.25089,0.22175
0.98507,0.57259,2.8685,1.2477,1.0757,2.2448,1.537,3.548
3.6219,1.811,0.92923,0.77984,0.92973,5.1734,2.3945,3.3263
1.6882,1.6083,0.071505,0.93581,1.0548,1.1059,2.2873,0.85005
1.073,1.9686,0,0.77984,1.7221,0.56359,2.1801,0.14783
0.4577,2.0812,0,1.5597,2.2225,0.18396,1.537,0.036959
0.23796,2.0362,0,1.7157,2.7438,0.18396,0.67961,0.036959
0.63349,1.6534,0.21809,2.9634,2.9523,0.56359,0.62602,0.036959
