"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0,1.2457,2.7695,0,0.097619,1.8923,2.9715,1.7194
0.037872,1.3226,1.2574,0,1.0019,3.794,2.7473,2.7555
0.029775,0.70757,0.13976,0.20831,2.6297,1.4644,2.4982,1.9129
0.020606,0.40005,0,1.1804,3.4737,0.32335,2.2367,1.6283
0.023323,0.24629,0,2.0137,3.1723,0.18072,2.4359,2.3342
0.026103,0.16941,0,3.0553,2.4488,0.085632,2.548,3.006
0.038624,0.16941,0.10657,3.4719,1.4239,0.13318,2.7349,3.2452
0.02369,0.16941,0.0012047,2.1526,0.70049,0.038089,2.6352,1.4802
0.0046941,0.092528,5.5481e-07,1.2499,0.51963,0.038089,2.7971,1.15
0.032409,0.092528,4.4853e-10,0.48606,0.39906,0.038089,2.6975,1.0476
0.019463,0.092528,7.077e-07,0.069438,0.27848,0.038089,2.847,1.0589
0.032432,0.092528,0.0022838,0,0.27848,0.038089,3.0089,1.1728
0.025149,1.2457,3.0048,0,0.21819,1.4168,3.1085,1.7649
0.40431,0.16982,2.8708,0,0.15791,1.7021,2.9466,1.6283
2.1033,0.15168,1.1875,0,0.45934,3.3186,3.0961,3.1199
2.1033,0.14463,0.34939,0.13888,1.6651,1.4644,3.3576,3.7917
2.3092,0.058467,0.069879,0.97213,2.5694,0.51352,3.395,3.6323
2.546,0.14732,0,1.1804,2.2077,0.085632,3.4075,3.9739
2.2474,0.067569,0,1.3193,1.6048,0.038089,3.4324,3.4957
2.0003,0,0.071044,0.97213,0.88136,0.085632,3.2704,3.6209
0.35283,0.23857,0.00098786,0.13888,0.51963,0.13318,2.8221,1.7649
0.074818,0.077853,5.5481e-07,0.20831,0.27848,0.038089,2.8221,1.3094
0.033632,0.12,4.4853e-10,0.069438,0.21819,0.038089,2.9466,1.3664
0.033632,0.1553,7.077e-07,0,0.15791,0.038089,2.9342,1.4689
0.023335,0.13713,0.0021906,0,0.15791,0.038089,2.9715,1.2753
0.33224,0.078034,2.7952,0,0.097619,2.3677,2.8345,1.6397
0.36313,1.3995,2.702,0,0.097619,1.3693,0,1.5827
1.8973,1.0151,0.9081,0,0.33877,3.6038,0.04066,2.3228
2.0312,0.55381,0,0.13888,2.69,0.84632,0.030026,2.3228
2.3813,0.32317,0,0.97213,2.8708,0.038089,0.011423,2.7783
2.4842,0.092528,0,2.1526,2.3283,0.085632,0.018886,3.0744
2.4534,0.092528,0,2.222,1.5445,0.038089,0.019347,3.0402
2.1856,0.16941,0.14209,2.4303,1.1225,0.22826,0.010086,3.0971
0.38372,0.16941,0.0010601,1.5276,0.51963,0.18072,0.01583,1.4916
0.074818,0.16941,6.0305e-07,0.5555,0.33877,0.038089,0.025599,1.5144
0.033632,0.16941,4.6436e-10,0.27775,0.27848,0.038089,0.0096345,1.3436
0.023335,0.16941,7.388e-07,0.20831,0.097619,0.038089,0.029293,0.99063
0.023335,0.16941,0.0022605,0.069438,0.097619,0.038089,0.033784,1.0703
0.40431,0.78445,2.9349,0.069438,0.097619,1.7021,0.05022,1.5486
0.40431,0.70757,2.9384,0.34719,0.077197,0.045881,1.3523,1.4005
1.5472,5.0897,0.48898,0.27775,0.14759,0,1.5516,2.0154
1.2075,5.3972,0.13976,0.20831,0.19762,0.016238,1.1282,0.46685
0.65143,4.7053,0,0.20831,0.090116,0.013394,0.79187,0.31882
0.78529,4.936,0,0.48606,0.057608,0.026189,0.69222,0.18218
0.58965,4.7822,0,0.5555,0.15498,0.019608,0.5054,0.03416
0.36313,3.8596,0.035522,0.48606,0.021923,0.0091253,0.26875,0
0.095412,1.9376,0.0010601,0.62494,0.061525,0.11735,0.20647,0
0.023335,1.2457,5.5481e-07,0.48606,0.22979,0.0067048,0.20647,0.056933
0.023335,0.86133,4.2214e-10,0.41663,0.02302,0.17517,0.20647,0.15941
0.023335,0.47693,6.9214e-07,0.34719,0.15646,0.091877,0.31857,0.60349
0.023335,0.40005,0.0022139,0.13888,0,0.051398,0.66731,0.70596
0.34253,2.0914,3.0048,0.13888,0.1416,0.052871,1.0783,1.1728
0.35283,1.2457,2.7695,0,0.15791,1.2742,2.2367,1.708
0.054225,1.092,0,0,0.15791,0.32335,2.6103,1.1956
0.023335,0.55381,0,0,0.21819,0.13318,2.6477,0.8426
0.023335,0.32317,0,0,0.15791,0.038089,2.5854,0.85399
0.023335,0.24629,0,0,0.097619,0.038089,2.6851,0.94508
0.023335,0.24629,0,0,0.097619,0.038089,2.6228,1.2411
0.023335,0.24629,0,0,0.097619,0.038089,2.6851,0.97924
0.023335,0.16941,0,0.069438,0.097619,0.085632,2.5107,1.207
0.023335,0.092528,0,0,0.097619,0.085632,2.0623,1.2981
0.023335,0.092528,0,0.069438,0.097619,0.038089,2.137,1.2981
0.023335,0.092528,0,0,0.097619,0.038089,2.3861,1.2525
0.023335,0.092528,0,0,0.097619,0.038089,2.6477,1.0931
0.023335,0.092528,0,0,0.097619,0.038089,2.5107,0.95647
0.36313,0.86133,2.702,0,0.097619,1.7972,2.5231,1.4916
2.093,1.2457,1.0478,0,1.0019,4.0793,2.8096,2.9263
2.1033,0.63069,0.13976,0.20831,2.9914,0.98895,2.7224,2.5847
1.9797,0.32317,0,1.9443,3.5943,0.22826,2.5356,2.4481
2.2783,0.092528,0,2.3609,2.5694,0.13318,2.548,3.3021
2.3813,0.092528,0,2.1526,1.7857,0.085632,2.4858,3.6551
2.1856,0.24629,0.10657,2.3609,1.0622,0.038089,2.7971,3.3362
0.4352,0.32317,0.001012,1.111,0.57992,0.085632,2.6103,1.6966
0.074818,0.32317,5.3872e-07,0.5555,0.33877,0.038089,2.6851,1.2639
0.023335,0.32317,4.4853e-10,0.48606,0.21819,0.038089,2.8594,1.355
0.023335,0.24629,7.1547e-07,0.13888,0.15791,0.038089,2.847,1.207
0.023335,0.16941,0.0022838,0,0.15791,0.038089,2.5854,1.3664
0.32194,1.5532,2.9349,0,0.097619,1.7021,2.8843,1.7763
0.31164,1.3226,2.7357,0,0.21819,1.7972,2.6975,1.7763
1.9282,1.092,0.9783,0,1.1225,3.794,2.3986,2.357
2.1342,0.24629,0.13976,1.0416,3.534,0.98895,2.6103,2.0496
2.0209,0.16941,0,2.0137,3.7752,0.37089,2.6975,2.5164
2.4945,0.092528,0,3.4719,2.8708,0.13318,2.7598,3.0402
2.3298,0.16941,0,4.3051,1.7857,0.038089,3.1584,3.3704
2.4225,0.16941,0,4.9995,1.3034,0.038089,3.3078,3.4729
2.371,0.16941,0,3.333,0.82107,0.038089,3.0587,3.359
2.4739,0.16941,0,1.8748,0.39906,0.038089,3.1584,3.9967
2.4328,0.24629,0,1.0416,0.21819,0.038089,3.3576,3.5981
2.5666,0.24629,0,0.69438,0.15791,0.038089,3.258,3.4843
2.3916,0.70757,0,0.20831,0.097619,0.038089,2.9466,3.3249
2.3504,0.55381,0,0.13888,0.097619,0.085632,2.7847,3.2338
0.46609,0.86133,2.8708,0,0.15791,1.2267,3.0836,1.503
1.9385,1.2457,0.76815,0.069438,1.3637,2.8431,2.7722,2.5392
