"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.069242,1.571,-0.3176,0.13207,-1.0073,-0.88013,-2.317
-0.25694,0.68324,-0.28067,1.387,-3.2546,-1.1318,-0.95668
-0.46212,-0.41372,1.1805,1.9494,-0.062201,-1.1332,0.21366
-0.44164,-1.0738,1.7939,1.441,-0.24534,-0.92728,-0.11396
-0.15553,-1.1913,1.2257,0.51807,0.085661,-0.63445,0.069682
0.41725,-0.90596,0.20544,0.12059,0.35537,-0.36682,0.70381
0.95092,-0.40886,-2.0451,0.30701,0.53736,-0.14771,1.6686
1.0006,0.095651,-1.6768,0.37576,0.44668,0.087,0.34238
0.52863,0.2053,2.0781,-0.023595,-0.44775,0.39619,-0.12331
-0.13632,-0.173,2.431,-0.54334,-0.099306,0.73678,1.0722
-0.60493,-0.40487,-0.96973,-0.7882,-0.39764,0.96487,0.22932
-0.65852,-0.11037,-2.3913,-0.73559,-0.2503,0.94253,-0.90854
3.1343,2.6586,-0.24882,-0.78508,2.5608,0.0022628,0.23012
1.2772,1.2281,2.0234,0.46893,-0.71047,-0.86682,-0.74171
-3.0455,-1.2661,0.61608,1.795,-2.8976,-1.2217,-1.0137
-1.8013,-1.3122,-2.3362,1.6607,-0.63373,-0.83175,-0.16626
0.040643,-0.94669,1.8747,-0.073088,-0.040193,-0.31822,0.93766
-0.25112,-0.47263,1.1143,-1.8707,0.07212,0.31819,2.1668
-0.061092,-0.25035,-2.5628,-2.2628,-0.066534,1.4407,1.8054
-0.04177,-0.24759,-1.7727,-1.5002,-0.12161,2.2805,-1.4151
-0.10685,0.12705,-0.84379,-0.8292,-0.040502,1.5295,-2.289
0.054381,0.0068347,-0.28331,-0.67113,-0.020727,-0.38806,-0.34934
-0.31292,0.18151,-0.41087,-0.53456,-0.34058,-1.5723,-0.12084
0.71618,2.1941,-0.15402,-0.12815,1.4975,-1.2319,0.21547
1.7696,1.7814,0.52476,0.36067,1.619,-0.30242,0.64602
1.8765,1.3777,-0.29493,-0.71214,2.0173,1.6484,-0.17775
0.39129,1.2557,0.2033,0.13544,-0.61026,0.59508,-1.5398
-1.6635,-0.46915,0.81631,1.3947,-2.1658,-1.6135,-1.2825
-1.6686,-1.2958,1.0019,1.9419,-0.32305,-1.4083,-0.19111
-0.69913,-1.2461,0.60152,1.0904,-0.34211,-0.39828,0.25649
-0.1094,-0.9786,-0.036808,-0.6122,-0.081565,0.35344,0.56385
-0.019318,-0.22639,-0.58301,-1.8786,-0.056215,0.60216,1.2842
-0.056149,-0.35815,-1.0373,-1.9591,-0.3871,0.15604,1.8419
-0.048635,-0.43628,-1.4404,-1.308,-0.047937,2.3444,0.63215
-0.12266,0.060542,-1.5376,-0.88331,-0.054776,1.7715,-1.5109
-0.026629,-0.23679,-1.0343,-0.9478,-0.39417,-1.0552,-1.7969
0.44193,0.58063,-0.12477,-0.91065,1.8028,0.76634,-0.35235
0.55263,1.8426,0.59926,-0.30668,1.5326,0.6958,0.62673
2.4175,2.8377,-0.68287,-0.61501,1.7592,1.1365,-0.3151
-0.091465,2.0131,-0.50214,0.60387,-0.38586,-0.85157,-1.2068
-2.6078,-0.58979,0.555,1.6616,-2.2118,-1.7866,-1.1991
-0.28678,-0.37701,2.1197,1.9594,-0.7436,-1.2625,-0.45647
-0.23491,0.39921,1.5121,1.4674,-0.078392,-0.75144,0.082471
-0.34113,-0.5843,-0.71076,0.6994,0.20261,-0.46482,0.14235
-0.098322,-1.1823,-1.0484,0.17532,0.14183,-0.085131,0.14274
-0.097049,-0.47805,0.34331,-0.030474,-0.0026812,0.026769,0.26719
-0.051251,-0.42961,1.136,-0.20415,0.24177,-0.11248,0.32244
-0.035593,-0.83355,0.80615,-0.56024,0.19093,-0.11257,0.36644
-0.2668,-0.58332,0.14028,-0.99024,-0.092672,0.13729,0.83032
1.3427,-0.44239,-0.14975,-1.2058,0.74133,0.44692,1.467
0.95253,0.022571,-0.3547,-1.0338,0.41782,0.53259,1.1775
3.3079,2.5042,-0.53593,0.27268,1.821,0.23261,-2.3076
1.23,1.4254,-0.27394,0.9411,-0.94775,-0.43801,-2.2324
-3.1917,-0.95612,-0.0054468,1.3437,-2.4369,-1.0076,-1.0415
-0.95789,0.22818,0.11955,1.4222,-0.65066,-1.2362,-0.03823
-0.7899,0.33518,0.19017,1.2682,-0.28679,-1.0755,0.19956
0.20017,-0.37144,0.45826,1,0.051375,-0.67838,0.12132
1.0653,-0.25962,0.97423,0.6533,0.52966,-0.28566,0.19177
-0.078545,-1.0676,1.388,0.18974,0.33404,-0.068118,0.27149
0.989,-1.1229,1.2106,-0.40126,0.039895,-0.021482,0.12236
-1.2391,-0.70516,0.32782,-1.0171,-0.021768,0.00041806,0.11149
-2.5955,-0.6331,-0.76362,-1.4597,-0.31322,0.1285,0.72349
1.227,-0.49694,-1.35,-1.5489,0.52395,0.34339,1.4926
1.7725,0.17606,-1.1726,-1.2426,0.70871,0.50154,1.4058
