"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.9798,0.093695,0.47898,0.38491,-2.3541,-0.61196,-1.4125
-0.97931,0.047791,1.6919,0.60629,-0.2756,-1.0195,-0.26413
-0.39522,0.68912,1.9754,0.71402,-0.050475,-1.035,0.035736
-0.30952,1.3611,0.6946,0.70922,-0.029455,-0.77234,-0.057786
-0.39248,1.0927,-1.1566,0.63188,0.12282,-0.42903,0.053023
-0.24103,-0.41086,-1.5716,0.53671,0.13389,-0.16059,0.17079
-0.048902,-1.394,-0.21439,0.46009,0.10837,-0.029275,0.02468
-0.09106,-0.825,1.0443,0.3989,0.2194,-0.0060303,-0.10555
-0.037658,-0.33123,0.92611,0.31699,0.059063,-0.0050424,0.05255
0.24246,-0.53561,0.18556,0.17606,-0.072883,0.053268,0.27095
0.37357,-0.36644,-0.29935,-0.03103,0.15797,0.18448,0.24892
3.8413,4.3995,-0.37931,-1.6843,2.819,1.2597,2.2062
2.0105,3.5298,-0.056697,0.52331,0.31966,0.9612,-2.0271
-3.3312,-2.6946,0.35117,2.9116,-2.9479,0.18514,-2.9171
-1.9308,-1.7832,0.30995,2.1908,-0.62586,-0.64796,-0.30441
0.16423,0.6181,-0.25199,0.42052,0.0072168,-1.0907,0.036754
-0.11085,-0.05671,-0.45985,-0.50681,0.033432,-1.0215,0.35301
0.034225,-1.2751,0.14573,-1.3126,0.13797,-0.67426,0.82428
-0.0086238,-0.024904,0.20669,-0.72402,-0.021889,-0.36973,0.22419
-0.052642,-0.21427,-0.14907,0.68964,-0.11104,-0.24904,-0.14021
0.10175,-0.2278,0.019268,0.21971,0.32311,-0.22267,0.24488
-0.26109,-1.0101,0.062958,-1.3039,-0.24141,-0.11451,-0.76139
0.75335,0.13904,-0.29846,-1.7655,0.92247,0.14796,1.6725
1.7438,1.3858,-0.22176,-0.7941,0.91485,0.46015,2.5632
2.2005,2.7239,-1.9392,-2.7434,2.4295,1.4154,-1.0388
0.18404,2.2223,-1.4442,0.86344,-0.78876,-0.45502,-2.7332
-2.1229,0.62186,0.45098,1.8581,-2.8981,-1.7818,-1.5849
-1.2542,-0.24849,1.4626,0.8565,0.032146,-1.4125,0.02669
-0.3764,-0.073317,0.89262,1.9184,0.14416,-0.53231,0.16277
-0.041533,-0.01369,0.44598,1.424,0.05167,-0.21742,0.0038114
0.010337,-0.64566,0.84503,-0.16744,0.12041,-0.23439,0.029049
-0.027765,-1.1255,0.86151,-0.74294,0.66653,-0.16308,0.025715
0.044421,-0.88553,0.10951,-1.0034,0.27261,0.062105,0.23453
-0.099136,-0.67377,-0.58624,0.064435,-0.24635,0.24546,0.2827
-0.10069,-0.79687,-0.6472,0.64793,-0.35288,0.20864,0.21841
1.3814,-0.34117,-0.20343,-1.3948,0.82966,0.15339,0.88913
1.3128,0.75974,-0.016277,-1.8538,0.6011,0.29768,1.2236
3.8823,0.57448,-0.74441,-0.8604,1.0529,2.4933,-0.0093409
0.85778,0.77617,-0.11023,0.22378,-0.46319,1.6455,-1.9154
-3.6506,0.5525,-0.11287,1.2764,-1.4548,-0.50634,-2.0155
