"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.97067,0.81252,-1.773,0.48368,-0.71318,0.14542,-0.86323
-0.62235,-0.59617,1.2591,0.48104,-1.9761,-0.10211,-0.22338
0.035664,-0.018172,-0.34123,-0.45942,0.58208,-0.15638,-0.093137
-0.40987,0.21192,-0.26746,-0.2499,-0.056196,-0.41158,-0.49632
-0.5053,0.94375,0.2759,1.1747,-0.26223,-0.7113,-0.12762
-0.8042,-0.33167,-0.0019392,0.86153,-0.0064685,-0.90627,-0.53641
0.13252,-0.73632,1.3083,0.85025,-0.20385,-0.4375,-0.18388
0.17944,0.16867,0.42817,1.3399,0.36338,-0.0018555,0.12888
-0.30391,0.033167,0.44355,0.092236,0.027786,-0.16653,0.19502
0.019213,0.22003,-1.2455,-0.027097,-0.58296,-0.44122,-0.45004
-0.05099,-1.404,1.2441,-0.25415,-0.17562,-0.031838,-0.093369
0.14305,-0.79603,0.93485,-0.30764,0.3542,-0.074434,0.4046
3.7663,1.7053,0.17896,-0.41223,2.6677,2.7154,2.6327
1.4664,0.81384,-0.3014,-0.83962,0.097368,2.0001,0.42827
-3.2687,-0.81173,-0.72752,0.76635,-2.4363,-1.3496,-3.7308
-1.3689,-0.54548,-0.54893,0.73421,-0.34075,-0.43564,-0.70293
-0.069676,-0.94102,0.0027079,-0.64586,-0.17979,0.79705,0.66845
-0.15371,-0.21411,0.053766,-0.54675,-0.15568,-0.37645,0.42643
-0.068251,-0.2192,-0.32104,-0.51377,-0.53229,1.1778,0.31477
-0.092716,-0.13866,-0.41581,-0.50449,0.094715,1.2244,0.71932
-0.11122,-0.14996,-0.18489,-0.22408,-0.16247,0.3558,-0.50455
-0.044546,-0.12105,-0.019832,-0.14345,0.13062,2.4397,-0.39079
-0.19327,-0.26247,-0.032,-0.059676,-0.45869,-0.42107,-0.2326
0.2082,0.26509,-0.03663,-0.057141,1.1501,0.47415,0.78074
0.63252,0.5565,0.076475,0.023607,0.99657,-0.16519,0.67189
2.3438,3.2926,-0.11009,-0.80491,3.1483,2.9484,1.4313
0.88176,1.1994,0.024031,0.71515,0.16934,-1.0521,-0.96019
-1.4611,-0.66602,-0.18092,1.4846,-2.8655,-2.1366,-1.7577
-1.01,-0.90119,-0.32865,1.5671,-0.058442,-1.0181,-0.70418
-0.93026,-1.3492,1.914,-0.37025,-0.24339,-0.44125,0.10816
0.038815,-0.89001,0.38254,-1.0986,-0.42473,0.9213,0.41796
-0.20682,-0.25945,-1.7004,-0.53822,-0.39311,0.16119,0.042056
-0.010368,-0.23467,0.12888,-1.0813,0.12328,0.57353,0.13879
-0.17142,-0.26377,-0.52249,-0.90136,-0.41481,0.8508,0.18606
0.018296,-0.1779,-0.3473,-0.71072,-0.015817,3.0067,0.82237
-0.28911,-0.25293,-0.14792,-0.084918,-0.27807,2.3066,0.11252
0.41879,0.17731,-0.16677,-0.33476,0.86586,0.35998,0.64053
0.65723,0.85219,0.50627,0.089247,0.75648,-0.31622,-0.065368
2.7636,3.1873,-0.68972,-1.2498,3.0168,1.728,2.0902
1.0507,1.2324,0.32275,0.026379,-0.27686,0.59633,-0.53746
-2.2253,-0.52939,0.30573,1.41,-3.1815,-1.34,-2.0678
-0.15699,-0.068307,0.98187,2.3676,0.43063,-1.1719,-0.272
-0.99005,-1.0614,0.40574,0.46231,-0.173,-0.70547,-0.41823
-0.5637,-1.3192,-0.73479,-0.86918,-0.36549,-1.1507,-0.053369
-0.12501,-0.36133,1.8405,0.63509,-0.24494,-0.24551,0.097742
-0.093454,-0.25163,-1.4309,-1.4736,-0.075503,-0.23002,0.11558
-0.11846,-0.39335,-1.4573,-1.2612,-0.20232,0.64683,0.39982
-0.01565,-0.16577,0.27448,-0.77159,-0.097216,1.0982,0.58443
-0.28499,-0.27404,-1.3792,-1.2092,-0.53991,1.0379,0.26549
0.48607,0.20787,-0.077657,-0.42292,1.4434,3.2788,0.93194
0.58764,0.77708,0.675,-0.25756,1.1587,0.9217,-0.35465
2.266,1.6646,-0.66052,-1.6932,1.8506,2.3658,2.4264
0.93538,1.3505,-0.54892,0.73877,-0.48358,-0.51813,-0.61973
-2.1715,-0.43491,0.63048,0.99625,-1.8893,-1.2428,-2.3248
-0.10839,0.09138,0.72736,1.5562,0.14911,-1.2822,-0.15522
-0.36266,-0.067161,-0.66501,1.5349,-0.045866,-1.5216,-0.51459
-0.14387,0.45767,0.4537,0.13867,-0.33322,-1.2676,-0.0073816
0.030946,-0.43919,0.64408,1.1694,-0.21777,-0.68695,-0.10106
-0.1841,-0.81105,-0.96961,0.085672,-0.18189,-0.47141,-0.38496
-0.14855,0.24873,1.4315,0.33254,0.15167,-0.27331,0.18778
-0.58936,-0.75888,0.32596,-0.93529,0.37455,0.0033719,-0.1423
-0.62873,-1.0547,-1.0147,-1.4242,-0.52902,-0.23231,-0.27835
-0.033547,-0.50969,1.1283,0.10756,0.46698,0.067537,0.34018
0.47074,0.11622,-0.29244,-1.0822,0.39627,-0.39465,0.3315
