"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.93741,2.3599,0,1.6713,1.7047,1.0293,0.30291,0.22668
0.76438,2.5067,0,1.1699,1.833,1.0293,0.21174,0.20001
0.82206,2.6241,0,2.6741,2.2605,0.58344,0.18569,0.21334
0.6298,2.3012,0,3.0084,2.4529,0.6726,0.14662,0.13334
0.78361,2.5947,0,1.1699,2.8163,0.9401,0.1336,0.080004
0.57212,2.5947,0,2.3398,2.9445,0.98468,0.081503,0.12001
0.53367,2.3599,0,2.507,2.8163,0.76177,0.068479,0.06667
0.6298,2.2132,0,1.5042,2.7094,0.85093,0.042431,0.093338
0.80283,2.3599,0,2.6741,2.6453,1.1184,0.042431,0.12001
0.49522,2.0077,0,2.6741,3.0087,1.0738,0.068479,0.10667
0.78361,0.59883,3.005,2.0056,0.89242,1.9655,0.96713,1.6801
3.0907,2.536,1.0472,1.5042,0.74278,4.4175,1.0453,2.1601
1.1297,2.1545,0.359,1.3371,1.2986,1.8317,0.83689,0.50669
0.24528,1.3326,0.001256,1.5042,1.9612,0.98468,0.70665,0.21334
0.053024,0.83364,6.4108e-07,1.3371,1.8544,1.3413,0.58944,0.14667
0.033799,0.56947,2.358e-10,0.66853,1.8116,1.0293,0.49827,0.17334
0.033799,0.42272,8.3267e-14,1.0028,1.6406,0.80635,0.39408,0.44002
0.033799,0.24661,0,0.66853,1.2986,0.31594,0.48525,0.88004
0.033799,0.21726,8.2989e-14,0.66853,0.93517,0.31594,0.66758,0.81337
0.033799,0.1292,2.5158e-10,0.50139,0.6359,0.31594,0.92806,1.2934
0.033799,0.099851,7.7745e-07,0.33426,0.40076,0.13761,1.5793,1.6134
0.033799,0.041148,0.0023297,0.16713,0.25112,0.1822,1.957,1.7601
0.68748,0.42272,2.7594,0.16713,0.18699,2.0992,2.0612,2.0934
0.59135,0.83364,2.7349,1.1699,1.2131,2.0101,0.95411,1.5467
2.6293,2.8002,0.97766,0.50139,1.3199,3.615,0.94109,1.0134
1.3219,2.7708,0.13967,1.0028,1.7688,1.7426,0.61549,0.37335
0.95664,2.4186,0.14321,1.3371,1.8757,1.4305,0.4071,0.18668
0.18761,1.6555,0.0010042,2.507,2.0254,1.1184,0.34198,0.06667
0.053024,1.1272,4.904e-07,1.6713,2.4529,0.85093,0.25081,0.093338
0.033799,0.62818,2.0177e-10,3.6769,2.175,0.76177,0.18569,0.32001
0.033799,0.33466,7.9603e-14,2.507,1.6192,0.44969,0.19872,0.72003
0.033799,0.27596,8.2989e-14,1.5042,1.0207,0.13761,0.35501,0.85337
0.033799,0.15855,2.5417e-10,1.1699,0.74278,0.13761,1.0844,1.0534
0.033799,0.1292,7.7745e-07,0.83566,0.59315,0.13761,1.2406,1.1601
0.033799,0.070499,0.0023297,0.50139,0.42213,0.093032,1.5662,0.94671
0.66825,0.45207,3.0388,0.16713,0.33663,1.4751,1.7356,1.9334
0.64903,0.74558,2.6674,1.8384,0.67865,2.233,0.69363,1.4667
2.091,2.5654,0.97766,1.3371,0.74278,4.15,0.81085,1.1601
1.5719,2.4186,0.13972,1.1699,1.3199,1.4305,0.61549,0.53336
1.072,2.2719,0,1.6713,1.5123,0.89552,0.52432,0.36002
0.59135,2.0958,0.14282,2.1727,1.9185,1.0738,0.32896,0.14667
0.1107,1.3033,0.0011204,2.3398,2.3033,1.0738,0.15965,0.12001
0.07225,0.83364,5.6897e-07,2.3398,2.4956,1.0738,0.17267,0.093338
0.033799,0.65753,2.2777e-10,2.0056,2.4956,1.0293,0.15965,0.21334
0.033799,0.36401,1.5704e-13,1.3371,1.9185,0.62802,0.18569,0.44002
0.033799,0.24661,2.4899e-10,1.5042,1.3199,0.27136,0.34198,0.7067
0.033799,0.21726,7.619e-07,0.66853,0.97792,0.093032,0.64153,1.1601
0.033799,0.1292,0.0022831,1.0028,0.74278,0.093032,1.0713,1.2801
0.78361,0.62818,3.0388,0.83566,0.46489,1.7426,1.41,2.1201
0.6298,0.68688,3.0725,0.50139,0.87104,1.6534,0.90201,1.7867
2.7831,2.0077,1.1173,0.33426,0.76416,4.2392,1.3839,1.9868
1.668,2.3306,0.069858,1.6713,1.2772,1.6088,1.1495,0.7867
1.1104,1.8609,0,1.1699,1.6406,0.9401,0.99318,0.33335
0.76438,1.9783,0,1.5042,1.7902,1.163,0.44617,0.24001
0.68748,2.3012,0,1.5042,2.3246,1.0738,0.31593,0.22668
0.72593,2.5067,0,1.6713,2.6667,0.98468,0.21174,0.093338
0.64903,2.8002,0,2.507,2.7522,1.0738,0.15965,0.12001
0.59135,2.4186,0,3.0084,2.4743,0.85093,0.094527,0.06667
0.53367,2.2132,0.07044,3.1755,3.0087,0.85093,0.055455,0.12001
0.1107,1.1859,0.0011137,3.0084,3.0514,1.2522,0.068479,0.040002
0.033799,0.74558,0.0017013,3.3426,3.3079,1.0293,0.10755,0.13334
0.43754,1.1565,2.4799,2.6741,2.517,2.8571,0.1336,0.44002
