"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.048598,0.26443,2.7287,0.98802,0.9435,1.8736,2.0185,2.8398
0.0047606,0.83764,0.86826,0.79041,0.69632,3.5421,2.5424,2.3914
0,0.83764,0.07238,0.39521,0.81991,1.3,1.3374,0.52313
0.061913,0.64657,0,0.39521,1.0177,0.4658,1.1279,0.74733
0.12024,0.91725,0,0.39521,1.3143,0.25723,0.81355,0.52313
0.14259,0.91725,0,0.59281,1.6356,0.36152,0.65639,0.4484
0.11299,1.0606,0.22076,0.79041,1.6356,0.41366,0.49922,0.67259
0.080166,0.71026,0.00097331,1.1856,2.2288,0.62222,0.34206,0.4484
0.0046706,0.42365,5.247e-07,3.5569,2.4266,0.51794,0.28967,0.74733
0.074154,0.3122,4.5912e-10,3.3593,2.3771,0.4658,0.49922,0.93416
0.061328,0.26443,7.3303e-07,2.9641,1.8581,0.41366,1.285,1.2331
0.10578,0.20074,0.0022207,1.7784,1.3143,0.25723,1.547,1.1584
0.1148,0.21666,2.8952,0.98802,0.79519,1.1436,2.228,2.0551
0.63361,0.034779,3.0086,0,0.02894,2.2907,1.7042,1.121
2.6826,0.052938,0.94061,0,0.02894,3.9592,2.2804,1.9057
2.4963,0.038837,0.14476,0,0.02894,1.2479,2.1756,2.0551
2.7198,0.045122,0.07238,0,0.02894,0.4658,2.5948,1.3452
2.3473,0.025806,0,0,0.02894,0.20509,4.114,1.0089
1.9375,0,0,0,0.02894,0.10081,3.3806,0.70996
1.6022,0.045253,0.14718,0,0.02894,0.30938,2.8043,0.2242
0.52184,0.052225,0.0011231,0,0.02894,0.15295,2.1756,0.41103
0.11205,0.062878,5.9132e-07,0,0.02894,0.10081,1.4946,0.1121
0.074796,0.029511,4.6458e-10,0,0.02894,0.10081,1.3898,0.41103
0.074796,0.062154,7.4914e-07,0,0.02894,0.10081,1.6518,1.0089
0.074796,0.032414,0.0023656,0,0.02894,0.10081,1.5994,0.56049
0.78262,0.047064,2.9314,0,0.02894,1.4043,2.2804,1.121
1.4532,0.26443,3.0436,0.39521,0.54802,1.4565,0.088118,4.9697
5.9609,0.8854,0.57884,0,0.44914,4.0113,0.071471,5.3434
4.1355,0.96502,0,0.59281,0.9435,1.4043,0.056357,3.064
2.9061,0.90133,0,0.59281,1.339,0.77864,0.13253,1.8683
2.7198,1.0446,0,1.3832,1.9817,1.2479,0.027269,1.6441
1.6395,1.2516,0,2.1736,2.3771,1.1436,0.18369,0.82206
1.863,0.91725,0.14718,1.976,2.7973,0.9872,0.014125,1.0089
0.48459,0.55103,0.0012229,3.1617,2.8468,0.88292,0,0.56049
0.11205,0.32812,5.7467e-07,1.1856,2.3524,0.7265,0.032325,0.70996
0.074796,0.24851,4.5912e-10,2.3712,2.0311,0.77864,0.084819,1.6441
0.074796,0.18482,7.0887e-07,1.7784,1.4873,0.41366,0.14499,2.0925
0.074796,0.13705,0.0022449,1.3832,1.1165,0.15295,0.073138,2.9146
1.3414,0.20074,3.0762,0.79041,0.84463,1.4565,0.12428,3.5124
1.2297,0.18482,2.7637,0.79041,0.036877,0.12378,2.1756,3.7366
3.6139,0.72618,0.65119,0.59281,0,0.10227,3.433,3.1014
1.6022,0.93317,0,0.1976,0.071635,0.15845,2.7519,0.67259
0.67086,1.4586,0,0.79041,0.011971,0.088694,2.228,0.14947
0.81988,1.4427,0,0.79041,0.022307,0.10325,1.3898,0.1121
0.52184,1.4745,0,1.7784,0.040635,0.11049,0.91833,0
0.29832,1.4108,0.18397,2.3712,0.070378,0.15457,0.76116,0.1121
0.1493,0.96502,0.0012978,2.3712,0.04955,0.033851,0.39445,0.1121
0.11205,0.69434,6.3297e-07,2.9641,0.08673,0.10096,0.28967,0.2242
0.074796,0.43958,4.8645e-10,2.9641,0.025721,0,0.23728,0.37366
0.074796,0.28035,7.572e-07,3.3593,0.046944,0.18004,0.28967,0.29893
0.074796,0.26443,0.0023414,2.5688,0.042445,0.088438,0.28967,0.70996
0.96889,0.20074,2.9314,1.7784,0.0096192,0.06908,0.70878,2.8025
0.074796,0.23259,0,2.3712,1.685,0.30938,1.4422,1.8683
0.074796,0.15297,0,1.5808,1.2154,0.30938,1.6518,1.7188
0.074796,0.10521,0,1.5808,0.77048,0.15295,2.8567,1.532
0.074796,0.10521,0,1.1856,0.44914,0.10081,3.1186,0.37366
0.074796,0.24851,0,0.1976,0.27612,0.10081,3.171,0.14947
0.074796,1.3153,0,0,0.22668,0.10081,1.9661,0
0.074796,3.3215,0,0.1976,0.47386,0.20509,1.2327,0.037366
0.074796,4.8023,0,0.1976,1.4131,0.25723,0.86594,0.037366
0.074796,6.0443,0,0.79041,2.3277,0.30938,0.70878,0
0.074796,6.0443,0,1.976,3.2917,0.62222,0.44684,0
0.074796,5.1526,0,2.3712,3.5142,0.4658,0.23728,0.037366
0.074796,3.8788,0,2.1736,3.9096,1.0915,0.18489,0.037366
0.074796,2.7643,0,3.1617,3.9344,0.77864,0.13251,0
0.52184,0.20074,2.9386,1.3832,0.49858,2.4993,2.9615,1.3452
2.1983,1.0287,0.94061,0.79041,0.44914,4.3242,2.9091,1.1957
0.93164,1.3153,0,0.59281,0.99294,1.1958,2.1233,0.41103
0.74537,1.2994,0,1.1856,1.6603,0.51794,1.285,0.1121
0.67086,0.7421,0,2.5688,2.13,0.4658,1.0755,0.074733
0.78262,0.63065,0,3.5569,2.4019,0.4658,0.65639,0.1121
0.78262,0.40773,0.25756,2.9641,2.5254,0.51794,0.70878,0.37366
0.26107,0.23259,0.00094836,2.3712,2.4513,0.57008,0.39445,0.3363
0.1493,0.26443,5.247e-07,2.3712,2.0064,0.41366,0.55161,1.0089
0.074796,0.23259,4.4272e-10,1.976,1.512,0.20509,0.81355,1.8309
0.074796,0.15297,7.0887e-07,0.79041,1.0918,0.36152,0.97072,2.3167
0.074796,0.13705,0.0022449,0.39521,0.74576,0.15295,1.6518,2.4288
0.63361,0.39181,2.7866,0.39521,0.64689,1.6129,3.0662,1.6441
1.3787,0.24851,2.9736,0.59281,0.57273,2.03,2.0185,3.6245
3.5022,0.94909,1.0857,0,0.37499,4.5327,3.3282,2.2793
1.4159,1.0287,0.14476,0,0.74576,1.3522,2.8567,0.2242
0.93164,1.2516,0.07238,0.59281,1.3143,0.51794,2.1233,0.14947
0.78262,1.4427,0.07238,1.1856,1.7098,0.20509,1.3374,0.26156
0.41008,1.2994,0,0.59281,2.6738,0.36152,0.70878,0.074733
0.63361,1.2994,0,0.98802,2.6243,0.41366,0.76116,0.1121
0.59635,1.0924,0,2.1736,2.7973,0.57008,0.28967,0.18683
1.0061,0.96502,0,3.5569,3.1187,0.67436,0.23728,0.14947
1.6022,0.5988,0,2.9641,3.1434,0.9872,0.18489,0.56049
1.8257,0.66249,0,2.7664,3.2423,0.93506,0.18489,0.97152
2.5336,0.51919,0,3.3593,2.8962,0.7265,0.23728,1.4947
2.3845,0.4555,0,2.9641,2.7973,0.57008,0.604,1.121
1.1179,0.23259,3.0785,0.79041,0.59745,2.1343,2.9615,2.4288
2.6826,1.1879,1.302,0.79041,0.99294,4.0635,2.8567,1.1957
0.78262,1.0446,0.074392,0.79041,1.7098,1.665,1.9661,0.2242
0.11205,0.80579,0.00099519,0.98802,1.512,0.77864,1.2327,0.037366
0.074796,0.75803,5.0243e-07,1.7784,1.7345,0.30938,0.604,0.1121
0.074796,0.66249,2.2159e-10,1.7784,1.8333,0.36152,0.604,0.3363
0.074796,0.55103,8.7208e-14,1.3832,1.5862,0.20509,0.65639,0.3363
0.074796,0.47142,0,0.98802,1.4131,0.20509,0.65639,0.85942
0.074796,0.42365,8.5987e-14,1.1856,1.1165,0.30938,0.76116,1.0836
0.074796,0.35996,2.6066e-10,0.59281,0.9435,0.41366,0.76116,1.7562
0.074796,0.20074,7.9747e-07,0.39521,0.74576,0.15295,1.4422,1.8309
0.074796,0.18482,0.0024138,0.59281,0.59745,0.20509,2.0709,1.3078
0.63361,0.50327,3.0762,0.1976,0.30084,1.665,2.6995,1.6067
0.93164,0.40773,3.0086,0.79041,0.99294,2.2907,2.0185,2.0925
1.9002,1.7293,0.7959,0.98802,1.0918,3.1771,2.3328,1.7188
0.52184,1.2835,0,0.39521,1.7345,1.0393,1.5994,0.3363
0.70811,1.0128,0.22257,2.5688,2.5502,0.62222,0.97072,0.14947
0.1493,0.64657,0.0011673,2.1736,2.6738,0.4658,0.55161,0.14947
0.074796,0.35996,5.8433e-07,1.7784,2.6243,0.41366,0.39445,0.48576
