"GI_prot","LHY_prot","LHY_prot_modif","Light*P","PRR5_NI_prot","PRR7_prot","PRR9_prot","TOC1_prot","TOC1_prot_modif","Y_prot"
0.20583,0.29402,0.8977,2.8166,3.6836,2.418,2.9646,5.4001,1.9656,0.97462
0.68938,1.4928,1.1542,1.1096,1.4092,3.0562,1.0345,4.7346,2.0119,1.4994
0.25956,1.9618,1.6672,0.069376,3.2628,4.2334,2.9852,4.8616,3.9465,1.2959
0.25956,2.1703,1.9236,0,2.7184,3.7116,2.6803,3.627,2.6726,0.91036
0.20583,2.457,1.9236,0,2.5605,3.8508,0.39414,4.0328,2.9547,0.51408
0.15211,2.5351,2.5007,0,2.2094,4.401,2.8417,3.3313,2.0772,0.38556
0.25956,2.6394,2.8213,0,2.6029,2.9927,4.4554,3.0515,2.7341,0.2142
1.3878,2.3527,3.0778,0.00098075,3.1293,1.8179,3.9249,3.0804,0.30181,0.23562
1.549,1.5449,3.2702,5.2686e-07,3.356,3.5052,2.8497,5.0299,2.9604,0.1071
1.1192,0.91945,2.629,4.1386e-10,3.0306,3.3877,2.2971,3.7116,2.5938,0.096391
0.90428,0.73703,1.603,6.64e-07,4.3717,4.1498,2.1499,3.3437,4.2316,0.23562
0.5282,0.60673,1.0259,0.0021285,0.98874,4.9612,4.9506,3.4151,2.1751,0.43911
0.20583,0.55461,0.83358,2.7057,1.1793,3.1789,1.705,1.6717,3.6998,0.73899
0.15211,0.42432,1.7313,2.9507,1.8503,0.87726,3.1065,3.9796,2.7783,0.40698
0.47447,1.7273,1.9236,0.83251,2.7408,1.8923,2.0989,1.8325,3.1742,0.83538
0.42074,2.6915,2.3725,0,3.8031,2.777,3.1404,3.8153,3.4005,0.87823
0.098381,2.6394,3.0778,0,3.2906,2.2661,3.2785,4.5037,1.8093,0.6426
0.15211,2.483,2.9496,0,2.5834,3.1627,1.2851,4.3447,1.8249,0.43911
0.15211,2.3006,2.9496,0,2.195,4.215,2.101,2.2666,4.1911,0.3213
0.15211,2.9,2.8213,0,0.56868,2.4766,3.3264,2.1644,2.2822,0.29988
0.15211,2.7175,3.142,0,2.0577,3.1089,2.169,4.1764,3.0809,0.20349
0.15211,2.926,2.5007,0,3.4089,1.928,3.8117,3.5296,3.3549,0.27846
0.15211,2.8739,2.9496,0,2.8831,1.8501,2.6115,4.4683,2.832,0.31059
0.098381,3.0824,2.4366,0,1.2784,2.8907,1.8932,3.3533,2.1303,0.35343
0.20583,2.926,2.5649,0,2.7826,5.9346,2.5917,4.2012,3.196,0.28917
0.098381,2.483,3.0778,0,3.7019,1.0844,2.8242,4.6897,1.8229,0.20349
0.15211,0.34614,0.57709,2.7496,1.7391,3.204,2.0303,6.6854,1.6733,1.0067
0.15211,1.2061,0.70534,1.1786,2.1482,2.3273,1.9295,3.9498,1.9329,1.5208
0.5282,1.7273,1.0259,0.24956,1.7572,2.8376,1.4815,2.9481,0.54925,1.3066
2.2475,1.5188,1.9236,0.0011006,2.671,2.331,2.2827,3.3231,2.5361,0.7497
2.4086,1.0758,2.1801,5.4687e-07,0.55205,2.8624,3.3912,3.6122,2.7865,0.48195
1.6565,0.84127,1.9236,2.1784e-10,1.2913,3.5882,3.6139,3.2139,2.3757,0.33201
1.0655,0.71097,1.9236,8.1823e-14,3.0214,3.3779,2.9792,3.354,2.7265,0.51408
0.79683,0.63279,1.4107,0,2.7938,2.2384,3.3817,3.9544,2.8293,0.76041
0.63565,0.45038,0.83358,8.2434e-14,4.1619,2.279,3.3455,4.7954,1.9535,0.77112
0.42074,0.3722,0.64122,2.5242e-10,3.5301,3.3286,3.3209,2.86,2.8051,0.91036
0.36701,0.32008,0.38473,7.5665e-07,4.1869,2.3476,3.5957,3.2956,1.4686,1.0924
0.36701,0.21584,0.38473,0.0023136,3.8431,3.9096,1.8977,4.9292,2.059,1.0067
0.31329,0.2419,0.25649,3.0525,2.7157,1.2179,2.2871,3.003,1.7934,1.4137
0.15211,0.3722,0.76946,2.8837,4.5414,3.6427,0.60245,2.8012,2.6391,0.83538
0.20583,1.4146,0.83358,0.83221,4.5648,3.3518,2.7876,3.8336,2.8346,1.3495
0.20583,2.1703,1.603,0.069354,2.0022,1.4028,2.7001,2.2605,5.0805,1.0603
0.15211,2.9781,1.6672,0.10667,0.68262,3.1068,4.1618,3.1601,3.6649,0.73899
1.2266,2.6133,1.9236,0.00097291,1.9135,3.1265,3.3423,3.9363,2.3854,0.47124
1.2266,2.1703,2.1801,5.4384e-07,3.0762,3.1268,1.94,3.4928,2.3025,0.24633
1.2804,1.154,2.3084,2.1934e-10,3.0283,2.4281,0.49871,3.2594,2.8149,0.2142
1.0655,0.73703,1.8595,8.4543e-14,3.5107,3.6711,1.7241,2.8206,4.9625,0.29988
0.63565,0.45038,1.603,8.3322e-14,3.5114,2.3667,2.517,2.5942,4.538,0.48195
0.31329,0.26796,1.0259,2.5242e-10,2.6994,3.9549,3.0495,4.8954,3.2886,0.77112
0.25956,0.32008,0.70534,7.6437e-07,1.2912,2.3668,2.5152,3.9839,4.4242,0.98533
0.25956,0.18978,0.32061,0.0022905,3.348,2.4712,3.4168,3.7709,3.0797,1.2209
0.15211,0.13766,0.32061,3.0525,2.2788,2.7334,3.1491,4.8406,2.2072,1.3709
0.15211,0.39826,0.8977,2.4142,2.8214,1.7854,2.6729,3.5232,3.5809,0.51408
0.47447,1.2843,0.96182,1.1096,3.0556,2.1108,2.4766,3.4529,3.6408,1.1781
0.25956,1.6231,1.3466,0.20813,3.2777,3.3578,2.2825,3.9343,4.0218,1.1138
0.15211,2.6394,1.8595,0.069354,3.0353,2.3616,2.7612,3.1385,1.972,0.68544
0.31329,2.5873,1.9878,0.24821,3.842,3.2099,3.198,3.7637,1.8391,0.33201
1.3878,2.1703,2.2443,0.0010159,2.5052,3.8276,2.0077,3.2851,3.634,0.17136
1.3878,1.6752,2.0519,5.6504e-07,2.1964,1.7804,1.6344,5.1348,3.5162,0.096391
1.0117,1.2061,1.9236,2.2081e-10,0.12227,4.716,3.1085,3.4371,2.0925,0.16065
0.58192,0.78915,1.7954,1.5243e-13,1.935,2.2184,1.995,4.3082,0,0.19278
0.5282,0.52855,1.3466,2.3697e-10,0.65991,3.0329,4.7241,5.8105,4.8283,0.52479
0.31329,0.45038,1.2183,7.3348e-07,3.4981,1.0468,0.23727,1.9873,2.6578,0.76041
0.20583,0.39826,0.76946,0.0022211,2.6513,4.1898,2.3142,5.2493,2.5356,0.89965
0.20583,0.34614,0.70534,2.9832,1.605,4.439,3.4975,3.5789,3.367,1.2531
0.15211,0.39826,1.2183,2.9843,2.0745,2.4799,3.3765,5.3552,2.5702,0.65331
0.36701,1.1019,1.0259,1.0403,1.0376,4.3362,2.1096,3.3094,2.2703,1.2959
0.15211,2.0139,1.4748,0.069376,2.3879,2.9852,3.6081,4.2775,3.9634,1.2317
0.20583,2.2224,1.8595,0,1.8033,4.0945,1.4364,3.3366,1.5004,0.82467
0.20583,2.1442,2.2443,0,1.5134,3.5973,1.0904,2.5562,1.8447,0.6426
0.20583,2.2745,2.1801,0,1.9053,4.0189,2.2798,3.299,3.3,0.48195
0.15211,2.4048,2.0519,0,2.2311,1.6002,2.2732,2.0524,2.3212,0.37485
0.098381,3.0303,2.2443,0,4.3183,1.0919,2.7418,3.8261,3.4197,0.26775
0.15211,3.0042,2.9496,0,2.0881,2.5586,2.7111,4.1771,3.3841,0.16065
0.25956,2.8739,2.8855,0.10493,1.4479,2.1472,1.2852,5.0075,0.10526,0.096391
1.0655,2.3006,3.0778,0.00096485,0.63089,2.3878,1.7485,2.9875,1.6637,0.04284
1.2266,1.2843,3.2702,0.0017127,2.0511,4.34,2.1448,2.0428,1.9975,0.02142
0.42074,1.1019,2.5649,2.6016,4.1141,1.0139,2.3951,4.2497,2.3067,0.11781
