"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.30957,2.3694,0,0.64738,1.2739,0.77161,2.3763,0.12029
0.35506,2.7162,0,1.1329,1.9206,0.30908,1.3289,0.040098
0.26409,4.8216,0,2.2658,2.4461,0.1549,0.73035,0
0.26409,4.4253,0,1.6185,2.7897,0.30908,0.43109,0.040098
0.12765,4.0785,0,3.2369,2.9918,0.20629,0.33134,0
0.17313,3.3602,0,2.104,3.1333,0.36047,0.23159,0
0.35506,2.3199,0,1.6185,3.1131,0.56604,0.23159,0
0.12765,2.518,0,3.2369,3.1333,0.72022,0.18171,0.080196
0.40054,2.2208,0,2.2658,3.4364,0.56604,0.13184,0.080196
0.30957,1.8988,0,2.104,2.8908,0.77161,0.13184,0.20049
0.80987,1.8245,0,1.7803,2.9918,1.0286,0.08196,0.56137
0.90083,0.70984,2.4297,1.1329,0.86967,1.7481,2.1269,1.6841
3.2204,1.8988,1.0765,0.64738,0.68777,4.3177,1.9772,1.5237
1.4466,2.196,0.073811,1.1329,1.3143,0.97718,1.7279,0.24059
0.26409,1.9483,0.0013925,1.2948,1.2537,0.51465,1.1294,0.16039
0.12765,1.7006,5.9145e-07,1.2948,1.6377,0.77161,0.92985,0.24059
0.082167,1.7254,2.4241e-10,1.2948,1.8398,0.56604,0.73035,0.12029
0.082167,1.3291,8.6542e-14,1.6185,2.0621,0.61743,0.43109,0.32078
0.082167,1.3538,0,1.9421,2.0419,0.87439,0.38122,0.48118
0.082167,1.0814,8.4432e-14,2.4277,2.2642,0.87439,0.43109,0.44108
0.082167,0.73461,2.5863e-10,2.4277,2.2036,0.87439,0.68047,0.64157
0.082167,0.61076,7.8326e-07,2.104,1.9611,0.66882,0.8301,1.4836
0.082167,0.41261,0.002371,1.6185,1.6377,0.36047,1.5284,1.644
0.53698,0.586,2.8367,0.64738,1.1728,1.7481,1.8276,2.1653
0.94631,0.586,3.1587,1.1329,1.3345,1.7995,1.6281,2.0049
3.3568,2.5923,1.0051,0.64738,1.476,4.883,2.476,2.2455
1.4466,2.518,0.21538,0.64738,1.7994,1.3369,1.7279,0.60147
0.80987,2.0226,0.14722,1.6185,2.0217,0.72022,1.3787,0.24059
0.17313,2.0226,0.0010323,2.5895,2.5674,0.30908,0.97973,0.040098
0.082167,2.518,5.2936e-07,2.5895,2.3653,0.41186,0.68047,0.16039
0.082167,2.9143,2.2985e-10,2.5895,2.4259,0.56604,0.38122,0.080196
0.082167,2.3446,8.4655e-14,3.0751,2.6078,0.72022,0.33134,0.20049
0.082167,1.7502,8.4432e-14,1.9421,2.8908,0.61743,0.33134,0.24059
0.082167,1.23,2.613e-10,2.104,2.4865,0.77161,0.28146,0.28069
0.082167,0.70984,7.9125e-07,1.7803,2.3653,0.61743,0.33134,0.52127
0.082167,0.48692,0.002395,2.5895,2.3248,0.66882,0.23159,0.68167
1.0373,0.48692,3.1599,3.5606,1.7792,2.3134,0.28146,2.3257
0.94631,0.41261,2.7768,0.16185,0.76861,1.5939,2.8251,2.2054
2.4927,2.1217,0.93327,0.16185,0.60693,3.187,2.9748,0.96235
1.1737,2.5428,0.071816,0.48554,1.0718,1.1827,2.2266,0.24059
0.53698,2.7409,0,0.97107,1.7589,0.25769,1.1792,0.080196
0.4915,2.6914,0.14682,1.1329,1.9813,0.36047,0.43109,0.040098
0.17313,2.196,0.0011267,1.1329,2.5674,0.41186,0.18171,0
0.082167,1.6263,6.1834e-07,1.6185,2.5674,0.77161,0.13184,0.20049
0.082167,0.95754,2.3137e-10,1.9421,2.6684,0.92578,0.13184,0.24059
0.082167,0.6603,1.632e-13,2.7514,2.4057,1.0286,0.18171,0.64157
0.082167,0.3383,2.5063e-10,2.4277,2.244,0.87439,0.28146,1.1227
0.082167,0.21445,7.7527e-07,2.5895,1.7589,0.25769,0.87998,2.6064
0.082167,0.11537,0.002371,1.2948,1.2739,0.10351,2.476,2.2455
0.67343,0.48692,3.0522,0.97107,0.9303,2.1078,3.6232,1.0826
1.1282,0.41261,2.9851,0.48554,0.76861,1.4397,2.5259,1.1628
2.8111,2.0722,1.1486,0.32369,0.64735,3.8551,2.2765,1.2831
1.5376,1.5272,0,0.64738,1.5366,1.1314,1.3289,0.32078
0.62794,2.2208,0,0.97107,1.9408,0.25769,0.92985,0
0.62794,2.2703,0,1.6185,2.143,0.20629,0.58072,0.080196
0.53698,2.5428,0,2.2658,2.7897,0.25769,0.38122,0
0.4915,2.5676,0,4.0461,2.8301,0.51465,0.33134,0.040098
0.40054,2.1465,0,3.8843,2.9514,0.66882,0.33134,0.040098
0.40054,1.7997,0,3.0751,3.2141,0.30908,0.23159,0.080196
0.80987,1.7997,0.18104,2.9132,2.8705,0.72022,0.13184,0.12029
0.26409,1.1805,0.0010475,1.6185,2.6684,0.823,0.23159,0.16039
0.082167,0.78415,0.0015333,3.3987,2.4461,0.823,0.23159,0.080196
0.94631,1.0071,2.5495,3.8843,2.2844,2.6731,0.58072,1.1628
