"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
1.4686,2.6181,0.28112,0.61963,0.69967,2.3052,1.1523,0.95738
0.82826,2.4734,0,1.0327,1.9617,1.4296,0.77767,0.24975
0.74173,2.0393,0,0.82618,2.4413,1.0148,0.40302,0.26363
0.77634,1.5329,0,2.272,2.7694,0.73822,0.29812,0.24975
1.0013,1.2073,0,2.4785,3.1228,0.59995,0.20821,0.47175
1.1917,1.135,0,2.6851,2.618,0.73822,0.25317,0.56888
1.9532,1.4605,0,1.8589,2.517,0.73822,0.31311,0.56888
1.6071,1.6414,0,2.4785,2.3151,0.8304,0.38804,0.81863
1.2263,1.1711,0,2.0654,2.2141,0.87649,0.41801,0.45788
1.8321,1.6414,0,1.6524,1.9365,0.55386,0.44798,0.45788
2.0744,1.7861,0,1.6524,1.7346,0.92258,0.55288,0.62438
0.6552,0.6647,2.7514,0.61963,0.49774,1.9365,1.2872,1.3043
2.7147,2.9075,1.0535,0.20654,0.42202,4.0105,1.3022,1.6234
1.2956,2.4373,0.28893,0.41309,1.1035,2.2131,0.88257,0.62438
0.25714,1.6776,0.0010159,1.8589,1.8608,1.3374,0.76268,0.1665
0.066759,1.135,5.2919e-07,1.6524,2.1636,0.73822,0.61282,0.111
0.014838,0.8094,2.1791e-10,1.8589,2.2394,0.78431,0.55288,0.36075
0.014838,0.55618,7.9214e-14,1.4458,1.7598,0.36951,0.61282,0.73538
0.014838,0.41148,0,1.6524,1.3307,0.27733,0.67277,0.91576
0.014838,0.26678,8.1768e-14,1.4458,1.053,0.23124,0.91254,0.99901
0.014838,0.23061,2.5571e-10,1.8589,0.69967,0.23124,1.5419,1.2626
0.014838,0.12208,7.7432e-07,0.61963,0.49774,0.18515,1.9466,1.6928
0.014838,0.085908,0.0023203,0.41309,0.34629,0.13906,2.4111,1.5818
0.6552,0.73705,2.9869,0,0.19485,1.7061,2.8757,1.8454
0.55135,0.8094,2.8533,0.41309,0.44726,1.66,1.8716,1.8454
2.6801,2.799,0.70254,0,0.34629,4.241,1.6169,1.665
1.5205,2.7267,0.14051,0.61963,1.255,1.9826,1.2272,0.56888
