"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.027877,1.8157,-0.38369,-1.0846,2.5407,0.54517,0.27306
-0.027877,1.5001,-0.5063,-0.34889,-0.54634,-0.79364,-2.2042
-0.027877,-0.62125,-0.34007,0.66473,-2.9192,-1.5769,-1.5571
-0.027877,-0.13169,0.0433,1.1418,-0.68087,-1.2233,0.12309
-0.027877,0.85091,0.13411,0.92699,-0.001323,-0.52808,0.038706
-0.027877,0.47077,0.056506,0.7954,0.077274,-0.32558,0.12701
-0.027877,-0.77298,0.86159,1.2277,0.20849,-0.46261,0.13706
-0.027877,-1.8447,2.1675,1.4495,0.054032,-0.30778,0.16526
-0.027877,-1.2447,1.8248,0.50978,-0.1726,0.39192,0.60366
-0.027877,-0.39589,-0.20896,-1.213,-0.092681,1.2728,0.52544
-0.027877,-0.38296,-1.6974,-2.4194,-0.3129,1.7373,0.31395
-0.027877,-0.25542,-1.6517,-2.3403,0.6149,1.4556,0.94589
-0.027877,0.41084,-0.73944,-1.2496,0.82024,0.57205,0.79234
1.5983,-0.080127,-0.0053702,-0.04068,2.4493,0.33247,1.2922
1.4325,-0.080127,-0.0053702,-0.04068,-0.85697,0.43737,0.92174
0.37102,-0.080127,-0.0053702,-0.04068,-2.7352,1.1008,-0.26764
-0.38965,-0.080127,-0.0053702,-0.04068,-0.43398,2.1077,-1.0644
-0.58062,-0.080127,-0.0053702,-0.04068,-0.22886,1.0446,-1.0005
-0.80331,-0.080127,-0.0053702,-0.04068,0.061947,-1.2046,-0.64523
-1.1485,-0.080127,-0.0053702,-0.04068,0.039501,-2.0159,-0.37066
-1.0928,-0.080127,-0.0053702,-0.04068,-0.21727,-1.6148,-0.043101
-0.58226,-0.080127,-0.0053702,-0.04068,-0.035116,-0.82159,0.43402
-0.11728,-0.080127,-0.0053702,-0.04068,-0.014152,0.0071573,0.7173
0.18284,-0.080127,-0.0053702,-0.04068,-0.19095,0.51792,0.57483
0.51139,-0.080127,-0.0053702,-0.04068,0.9232,0.89461,0.39799
0.68932,-0.080127,-0.0053702,-0.04068,0.9477,0.89498,0.35926
2.3797,2.6692,-0.46218,-0.22074,2.2795,0.039057,0.47752
1.2318,1.6492,-0.030415,0.48826,-0.037752,0.039057,-0.85966
-1.349,-0.51744,0.51406,1.1959,-2.5948,0.039057,-1.4639
-0.99621,-0.002562,0.95172,1.6572,0.12937,0.039057,-0.92652
-0.44563,1.1163,1.1003,1.6858,0.26646,0.039057,-0.24978
-0.41038,-0.33282,0.85761,1.2289,-0.25169,0.039057,-0.11796
-0.62539,-1.9416,0.32812,0.40568,-0.18394,0.039057,-0.16062
-0.79639,-1.4486,-0.15681,-0.51847,-0.21027,0.039057,0.092534
-0.25935,-0.60122,-0.36393,-1.2383,-0.067299,0.039057,0.53539
-0.043085,-0.36866,-0.43547,-1.5486,-0.1998,0.039057,0.8205
-0.015039,-0.36372,-0.56254,-1.4273,-0.59777,0.039057,0.87211
0.57009,-0.092805,-0.59653,-1.0095,0.75681,0.039057,0.74307
0.76765,0.45931,-0.34801,-0.48851,0.83486,0.039057,0.39115
4.3958,0.99777,-0.62455,-0.04068,-0.028645,1.9782,1.2112
0.40269,1.2604,-0.447,-0.04068,-0.028645,0.68284,-2.4844
-4.1711,1.1811,0.015622,-0.04068,-0.028645,-1.056,-1.8971
0.10676,0.77857,0.63666,-0.04068,-0.028645,-1.674,0.27142
-0.18097,0.1747,1.0825,-0.04068,-0.028645,-1.1823,-0.14807
-0.59977,-0.45408,1.0774,-0.04068,-0.028645,-0.61873,0.18724
-0.34352,-0.93244,0.76821,-0.04068,-0.028645,-0.44697,0.17702
-0.17484,-1.1419,0.57736,-0.04068,-0.028645,-0.36665,0.13985
-0.11706,-1.0646,0.55968,-0.04068,-0.028645,-0.17611,0.30505
0.035022,-0.7872,0.26937,-0.04068,-0.028645,-0.0089918,0.21991
-0.30193,-0.44822,-0.49464,-0.04068,-0.028645,0.1592,-0.10542
0.93778,-0.16113,-1.2072,-0.04068,-0.028645,0.46512,1.7892
1.1584,0.031337,-1.2298,-0.04068,-0.028645,0.71062,2.4689
-0.027877,-0.12871,-0.29422,-0.83147,-0.26545,0.40887,0.47523
-0.027877,-0.11014,-0.6328,-0.84328,-0.37765,1.45,-0.49908
-0.027877,-0.17292,-0.91881,-0.67713,-0.3785,1.675,-1.2963
-0.027877,-0.0579,-1.0365,-0.5238,-0.23551,0.41675,-1.2578
-0.027877,0.39571,-0.86971,-0.32864,-0.021072,-1.2937,-0.5303
-0.027877,0.98739,-0.38793,0.18158,0.16084,-1.8759,0.10571
-0.027877,1.2861,0.28483,1.005,0.28633,-1.1772,0.21982
-0.027877,1.027,0.90425,1.6423,0.42645,-0.40261,0.080832
-0.027877,0.33,1.243,1.6185,0.63056,-0.27907,0.054028
-0.027877,-0.43455,1.2241,1.0648,0.79829,-0.4076,0.13087
-0.027877,-0.92337,0.93596,0.50703,0.71995,-0.32029,0.14257
-0.027877,-0.99837,0.53088,0.19858,0.30676,-0.052101,0.09743
-0.027877,-0.74527,0.12212,-0.044052,-0.24799,0.26474,0.12621
1.2214,2.3271,-1.0803,-1.1241,2.205,0.81102,-0.048201
0.30286,2.5202,-0.87829,0.85768,-0.92884,-1.0924,-0.78755
-1.0476,0.40491,0.22976,2.1587,-2.67,-1.9703,-0.92236
-0.61517,-1.4754,1.9959,1.8724,-0.28413,-1.1829,-0.30532
0.043062,-1.4525,2.7057,1.0392,0.025655,-0.52849,0.28204
-0.015791,-0.84375,0.27981,0.62869,-0.024559,-0.32217,0.32367
-0.51543,-0.7513,-1.6642,0.12199,0.063132,-0.36258,0.26336
-0.64683,-0.40714,-0.38899,-0.9315,-0.095176,-0.12343,0.72188
-0.3278,-0.030985,0.023919,-1.6511,-0.2683,0.59004,1.4491
-0.12435,-0.31885,-1.7916,-1.5495,-0.050073,0.41831,1.5552
0.092906,-0.35579,-1.7039,-1.2729,-0.15506,0.74728,0.65569
0.49907,0.42074,-0.15653,-0.83909,0.79361,2.6577,-0.61504
0.4865,0.89597,0.14954,0.14282,0.89132,2.6304,-1.2302
1.1432,1.1258,-0.96626,-0.572,2.5277,2.3407,-0.18812
-0.075536,1.4209,-0.58033,0.17658,-0.48824,0.94928,-3.1541
-1.5022,1.1752,0.56302,0.95482,-2.8614,-1.1226,-1.531
-1.011,0.62697,1.0981,1.3911,-0.54324,-1.8706,0.64379
-0.33927,0.071539,-0.10411,1.3204,-0.057663,-1.2405,-0.073325
-0.12523,-0.36527,-0.52275,0.91754,0.1048,-0.52861,-0.069286
0.077118,-0.69332,1.2736,0.52675,0.091698,-0.37847,0.31005
0.36544,-0.90752,2.3548,0.33873,0.1125,-0.3721,0.034709
0.66151,-0.95359,0.44216,0.2568,0.23923,-0.17274,0.37329
0.74455,-0.81656,-0.95159,0.082561,0.15322,-0.0071933,0.73585
0.71589,-0.56437,0.4443,-0.22311,-0.21255,0.12202,0.93666
0.29032,-0.28382,0.40096,-0.5069,-0.29014,0.44407,0.30251
-0.45854,-0.021334,-1.135,-0.60972,0.07267,0.72598,-0.83689
3.6745,4.2454,-0.076632,1.5066,2.1253,0.2479,-1.4718
-0.51751,2.7171,-0.085733,1.8947,-0.34395,-1.1795,-2.3696
-3.9335,-2.3406,0.17122,1.5259,-2.3659,-2.0383,-1.1521
-0.32637,-0.48808,2.2218,0.77811,-0.90186,-1.7101,0.19623
-0.038605,-0.43788,1.9231,0.068448,-0.13968,-0.6473,0.43741
-0.026427,-0.69286,-1.0978,-0.48457,-0.10615,0.16382,0.35683
-0.028539,-0.61857,-1.896,-0.90055,-0.1386,0.24572,0.54399
-0.025637,-0.41171,-0.030802,-1.1288,0.041281,-0.00037453,0.876
-0.03741,-0.2945,-0.76094,-1.151,0.16106,0.13599,1.2453
0.011905,-0.69778,-1.9091,-1.093,-0.20143,0.85456,0.76957
-0.1934,-0.9321,0.30195,-1.0486,-0.24245,1.6139,-0.38071
0.72821,0.98224,-0.39583,-0.89741,1.0241,1.7084,-0.22596
0.75686,1.479,-0.74138,-0.46335,0.93623,0.99578,0.60759
0.70236,2.1252,-0.40048,-0.28535,1.5753,1.2999,0.14838
-0.27974,1.2779,0.092232,1.1771,-1.0772,-0.54501,-2.213
-1.1021,-0.92966,1.1737,2.1627,-2.1503,-1.9502,-1.9658
-1.0818,-1.4258,1.1275,1.488,-0.43304,-1.5613,0.011679
