"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.3095,-0.24016,0.63132,0.36526,-1.7995,0.035151,-0.3737
-0.06929,0.0084441,-0.021298,-0.24098,-0.011117,-0.048278,-0.15768
-0.4216,0.54117,-0.23884,0.01428,0.14785,-0.21514,-0.3737
-0.70985,0.96734,0.19624,0.87577,-0.20982,-0.42371,-0.30723
-0.83796,-0.13362,0.41378,0.97149,-0.0906,-0.48628,-0.44017
0.13889,-0.59531,1.2839,1.0034,-0.011117,-0.23599,-0.1743
0.29903,0.11499,0.84886,1.0353,0.34656,0.014294,0.27435
-0.14936,0.25705,0.19624,0.36526,0.028625,-0.048278,0.20788
0.074836,0.0084441,-0.67392,-0.049534,-0.52776,-0.13171,-0.25738
0.12288,-1.3056,1.0664,-0.17716,-0.17008,-0.0065635,0.025099
-0.48565,-1.8738,-0.45638,-2.6021,0.54526,0.64001,1.4874
2.0125,0.57668,-2.4142,-2.8892,2.2542,1.8915,3.282
1.6922,1.0739,-0.23884,-0.43242,0.22733,1.2449,0.2245
-2.9518,-0.48876,-0.89146,0.49288,-2.3161,-0.31942,-3.4644
-2.2472,-0.84391,-0.89146,0.52479,-1.0047,-0.19428,-1.4372
-0.32551,-0.84391,0.19624,-0.3367,-0.20982,0.32715,0.723
-0.037262,-0.38222,-0.021298,-0.56004,-0.28931,0.22287,0.80608
-0.0052336,-0.13362,-0.45638,-0.49623,-0.44827,0.7443,0.75623
-0.0052336,-0.0981,-0.45638,-0.43242,-0.050858,0.84859,0.73962
-0.0052336,-0.062586,-0.23884,-0.24098,-0.011117,0.82773,-0.24077
-0.0052336,-0.0981,-0.021298,-0.11335,-0.011117,1.1406,-0.4734
-0.0052336,-0.062586,-0.021298,-0.049534,-0.011117,0.36887,0.025099
0.47519,0.43462,-0.021298,-0.017627,1.3004,0.20201,1.0055
0.47519,0.57668,0.41378,0.62051,1.0619,-2.134,0.40728
1.8204,1.8907,0.41378,0.5886,2.4926,-1.8629,-0.14107
