"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.0076201,1.0906,-0.42917,-0.025374,-0.57263,0.77622,-3.4195
-2.6145,-0.22385,0.33517,1.8349,-3.0481,-1.6962,-1.4453
0.21277,0.88102,1.5088,0.69348,-0.033507,-1.0367,0.61077
-0.67019,-0.34223,-0.33323,2.197,-0.26019,-1.7905,-0.18379
-0.085697,-0.17004,-0.53561,1.5305,0.16712,-0.1257,-0.098201
0.091563,-0.40732,1.364,-0.79528,0.025737,-0.38215,0.28785
0.0033707,-0.42669,2.5555,1.3726,0.078049,-0.70742,-0.070613
0.77112,-0.81283,0.73642,0.0089583,0.19663,0.16157,0.352
0.30429,-0.55715,-1.5642,0.38305,0.14407,-0.19735,0.68572
0.55086,0.10907,0.91682,-0.44829,-0.22471,0.11298,0.79534
0.50653,-0.72603,0.28287,-0.94984,-0.30977,0.23842,0.40666
-0.85455,0.3128,-1.2858,0.060285,0.074104,1.0086,-1.124
2.3495,1.8112,-0.12683,-0.44645,2.7391,0.93083,-0.79423
-0.39672,1.2236,0.065309,2.3648,-0.54718,-1.2802,-2.0291
-2.5129,-1.2368,-0.1048,0.4469,-2.4876,-1.5349,-0.54023
0.026204,-0.19031,1.007,-0.50571,-0.25121,-1.2975,-0.080284
-0.195,-0.30838,0.78481,1.0437,-0.41475,-0.66744,0.48549
-0.016974,-0.35233,-0.47774,-0.65653,0.072981,0.37483,0.027627
-0.098784,-0.35454,-0.86891,-0.4914,-0.265,-0.1892,0.49789
-0.050237,-0.24074,0.019643,-0.77236,0.091402,0.31175,0.6606
-0.10251,-0.20337,-0.18289,-0.6763,0.053296,-0.14206,0.53049
-0.0062537,-0.35935,-1.1085,-0.562,-0.0094951,0.61308,1.0862
-0.2258,-0.51581,0.41428,-0.43381,-0.56489,1.4239,-0.76193
0.37746,0.39757,-0.30387,-0.7434,1.0422,1.0375,-0.09509
0.40685,0.59501,-0.36121,-0.45488,0.94632,1.0105,0.62325
1.3385,3.0582,-0.079161,-0.080788,1.8618,1.3754,0.76884
-0.55118,1.1116,-0.65908,0.73094,-1.0916,-0.556,-1.8299
-1.0473,-1.7839,1.3903,2.5117,-1.8751,-1.5658,-1.1456
-0.017571,-0.39372,1.7338,1.1841,0.20776,-0.78064,0.14298
-0.6894,-1.235,-1.1041,-0.11465,-0.45741,-0.71901,0.2556
0.021799,-0.4419,-0.18351,-0.56264,0.30501,0.24858,0.52528
-0.1006,-0.46454,-0.21782,-1.4246,-0.26487,0.2736,0.781
-0.059754,-0.16877,0.14864,-0.58256,-0.2891,0.80341,0.91117
-0.085744,-0.096697,0.37509,-2.2632,-0.088548,1.0837,-0.24709
-0.02931,-0.081947,-1.2413,-1.0228,0.022099,0.21985,0.20467
-0.21583,-0.2416,-0.3043,0.24933,-0.41046,0.67898,-0.55535
0.47679,0.15056,-0.53709,-1.3373,1.0783,1.1419,-0.76494
0.31761,0.5212,-0.18422,0.37719,1.1924,0.49238,0.28806
1.7317,0.84888,-0.81154,-0.96429,2.4526,2.5129,0.86228
0.49235,1.2317,-0.13216,0.4077,-0.41706,-1.1831,-1.3322
-0.64056,-0.18721,0.31082,0.065653,-2.9782,-1.2882,-0.98903
0.10381,-0.32927,-0.17872,-0.15781,-0.09429,-0.66051,0.30775
-1.4058,-0.13916,2.0008,1.1278,0.0769,-1.5202,-0.081211
-0.56806,1.342,0.60581,0.63869,-0.081918,-0.93578,0.23947
-0.16532,0.70939,-1.6554,1.5299,0.28067,-0.35502,-0.25254
-0.063402,-0.63427,1.0129,0.51596,0.57612,-0.41483,0.36776
-0.12112,-0.79249,-0.37386,-0.094038,-0.48145,-0.057604,0.14122
0.044899,-0.93362,-0.66857,1.4964,0.1109,0.095394,-0.027022
-0.33506,-0.59648,0.13933,-0.19092,-0.21417,-0.20779,0.058644
0.66419,-0.48319,0.070942,-1.3265,0.8131,-0.0038179,0.99148
0.781,0.35179,0.34287,-1.1986,0.72432,-0.35316,0.98171
1.1326,0.92866,-0.61459,-0.52305,2.5573,1.1192,1.8827
0.55623,0.84571,-0.47836,-0.32923,-0.52843,0.1692,-1.5576
-1.3869,-0.5634,1.1113,2.1838,-2.8181,-0.68309,-1.9977
0.56534,-0.37759,-0.62602,1.266,-0.097886,-0.30853,0.21225
0.051507,-0.3174,0.88981,0.088239,0.12584,-0.55061,0.076788
-0.10052,0.097944,3.2267,-0.099787,-0.09695,-0.097894,1.1342
0.25008,-0.31127,-1.5211,-1.0158,-0.011588,-0.37917,0.12773
-0.053946,-0.1726,-0.95418,0.2864,0.18298,0.68271,-0.313
0.10999,-0.27658,0.56674,-1.0372,-0.29396,0.56079,0.21381
-1.2522,-0.3663,-1.7738,-0.95829,0.16257,-0.057581,-0.56633
-1.2781,-0.45916,-0.75527,0.04535,-0.63639,0.44938,-0.17773
0.50899,-0.12039,0.17401,-0.95939,1.0079,-0.48982,0.76205
0.63954,0.33358,0.063097,-0.36914,0.86842,-0.50536,0.2481
