"GI_mRNA","LHY_mRNA","Light*P","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.022595,1.2897,2.8635,0.10158,0.19564,1.2155,2.6885,1.81
0,1.2897,0.85625,0,0.65131,4.0449,2.5474,2.7942
0.030179,0.48725,0.07138,0.20315,2.6259,1.0764,2.6885,2.7263
0.030471,0.26841,0,1.2189,3.3094,0.14872,2.5731,3.0091
0.00092878,0.12252,0,2.2347,2.9297,0.10234,2.868,3.1788
0.003804,0.19547,0,4.4693,2.1702,0.055954,3.0989,3.0996
0.010589,0.19547,0.254,4.2662,1.2589,0.10234,3.2528,3.3711
0.023383,0.19547,0.0011568,2.2347,0.8032,0.055954,3.0732,1.7308
0.016273,0.12252,5.7494e-07,1.1173,0.65131,0.055954,3.3041,1.1765
0.027551,0.12252,4.5277e-10,0.50788,0.57537,0.055954,3.0476,1.2218
0.016267,0.12252,7.3878e-07,0.30473,0.42348,0.055954,2.868,1.4254
0.0056249,0.12252,0.0022614,0.20315,0.27159,0.055954,3.1502,1.2218
0.017993,1.2897,3.0336,0.10158,0.1197,1.633,3.0989,1.8439
0.34775,0.1445,2.8635,0,0.1197,1.3083,2.7141,1.7874
2.1355,0.10262,0.92761,0,0.8032,2.9781,2.727,3.5521
2.6373,0.14541,0.21414,0.4063,1.7905,0.79808,2.9835,3.8236
2.4492,0.16861,0.07138,0.8126,1.7145,0.28787,3.0604,3.9481
2.4492,0.12685,0,1.0158,1.1829,0.10234,2.9193,3.801
2.4805,0.014008,0,0.91418,0.72726,0.055954,3.1245,3.5861
1.9473,0,0.07257,1.1173,0.42348,0.10234,3.0604,3.439
0.33729,0.057701,0.0011568,0.4063,0.19564,0.1951,3.0732,1.8439
0.065467,0.19284,5.9136e-07,0.4063,0.1197,0.055954,2.8424,1.5046
0.034103,0.15155,4.4199e-10,0.10158,0.1197,0.055954,3.1117,1.3688
0.013193,0.17812,7.1495e-07,0,0.1197,0.055954,3.0476,1.4141
0.013193,0.16026,0.0023328,0,0.1197,0.055954,2.8296,1.1652
0.40002,0.19353,2.8552,0,0.1197,1.633,2.7141,1.7421
0.30593,0.92493,2.9325,0.10158,0.19564,1.6794,0.028694,1.6516
2.1878,0.99788,1.213,0.10158,0.95509,4.1377,0.026054,2.8734
2.4387,0.48725,0.14276,0.10158,3.1575,0.70532,0.0043672,3.3711
2.5014,0.34136,0,0.71103,3.6891,0.14872,0.034873,3.2806
2.8046,0.26841,0,1.5236,3.0815,0.055954,0.022049,3.1223
2.4073,0.5602,0,2.9457,2.0183,0.055954,0,3.2693
2.2087,0.19547,0.18143,3.0473,1.1829,0.10234,0.032434,2.3643
0.36865,0.19547,0.0011075,1.5236,0.8032,0.14872,0.038295,1.5611
0.075922,0.19547,5.7494e-07,0.4063,0.65131,0.055954,0.023423,1.4254
